regime,start,end,bars,hours,days
BALANCE__NORMAL_VOL,2022-06-30 12:00:00+00:00,2022-07-01 20:00:00+00:00,8,32.0,1.3333333333333333
IMBALANCE__NORMAL_VOL,2022-07-01 20:00:00+00:00,2022-07-02 12:00:00+00:00,4,16.0,0.6666666666666666
BALANCE__NORMAL_VOL,2022-07-02 12:00:00+00:00,2022-07-04 04:00:00+00:00,10,40.0,1.6666666666666667
IMBALANCE__NORMAL_VOL,2022-07-04 04:00:00+00:00,2022-07-04 08:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-07-04 08:00:00+00:00,2022-07-18 12:00:00+00:00,85,340.0,14.166666666666666
IMBALANCE__NORMAL_VOL,2022-07-18 12:00:00+00:00,2022-07-18 16:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__HIGH_VOL,2022-07-18 16:00:00+00:00,2022-07-18 20:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-07-18 20:00:00+00:00,2022-07-19 00:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-07-19 00:00:00+00:00,2022-07-19 12:00:00+00:00,3,12.0,0.5
IMBALANCE__NORMAL_VOL,2022-07-19 12:00:00+00:00,2022-07-20 04:00:00+00:00,4,16.0,0.6666666666666666
BALANCE__NORMAL_VOL,2022-07-20 04:00:00+00:00,2022-07-30 16:00:00+00:00,63,252.0,10.5
BALANCE__HIGH_VOL,2022-07-30 16:00:00+00:00,2022-07-30 20:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-07-30 20:00:00+00:00,2022-07-31 00:00:00+00:00,1,4.0,0.16666666666666666
IMBALANCE__NORMAL_VOL,2022-07-31 00:00:00+00:00,2022-07-31 20:00:00+00:00,5,20.0,0.8333333333333334
BALANCE__HIGH_VOL,2022-07-31 20:00:00+00:00,2022-08-01 00:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-08-01 00:00:00+00:00,2022-08-02 00:00:00+00:00,6,24.0,1.0
BALANCE__HIGH_VOL,2022-08-02 00:00:00+00:00,2022-08-02 04:00:00+00:00,1,4.0,0.16666666666666666
BALANCE__NORMAL_VOL,2022-08-02 04:00:00+00:00,2022-08-06 12:00:00+00:00,26,104.0,4.333333333333333
BALANCE__LOW_VOL,2022-08-06 12:00:00+00:00,2022-08-06 16:00:00+00:00,1,4.0,0.16666666666666666
