regime,hour_utc,start_share_4h,end_share_4h,start_share_1h,end_share_1h,start_share_blend,end_share_blend
HIGH_VOL,18,0.0,0.0,0.0499457111834962,0.04777415852334419,0.019978284473398483,0.019109663409337677
HIGH_VOL,19,0.0,0.0,0.04777415852334419,0.04668838219326819,0.019109663409337677,0.018675352877307275
HIGH_VOL,20,0.14007782101167315,0.24124513618677043,0.04777415852334419,0.048859934853420196,0.10315635601634156,0.16429105565343033
HIGH_VOL,21,0.0,0.0,0.04560260586319218,0.05971769815418024,0.018241042345276872,0.023887079261672096
HIGH_VOL,22,0.0,0.0,0.04017372421281216,0.04343105320304017,0.016069489685124862,0.01737242128121607
HIGH_VOL,23,0.0,0.0,0.023887079261672096,0.04560260586319218,0.009554831704668839,0.018241042345276872
LOW_VOL,0,0.13304721030042918,0.23605150214592274,0.011224489795918367,0.08979591836734693,0.08431812209862485,0.17754926863449244
LOW_VOL,1,0.0,0.0,0.0336734693877551,0.013265306122448979,0.013469387755102043,0.005306122448979592
LOW_VOL,2,0.0,0.0,0.05102040816326531,0.03163265306122449,0.020408163265306124,0.012653061224489795
LOW_VOL,3,0.0,0.0,0.058163265306122446,0.0336734693877551,0.02326530612244898,0.013469387755102043
LOW_VOL,4,0.2446351931330472,0.10300429184549356,0.06224489795918367,0.05714285714285714,0.17167907506350177,0.084659717964439
LOW_VOL,5,0.0,0.0,0.053061224489795916,0.06428571428571428,0.02122448979591837,0.025714285714285714
LOW_VOL,6,0.0,0.0,0.05204081632653061,0.044897959183673466,0.020816326530612245,0.017959183673469388
LOW_VOL,7,0.0,0.0,0.04795918367346939,0.05102040816326531,0.019183673469387756,0.020408163265306124
LOW_VOL,8,0.18454935622317598,0.2145922746781116,0.02142857142857143,0.06326530612244897,0.11930104230533416,0.15406148725584654
LOW_VOL,9,0.0,0.0,0.04285714285714286,0.025510204081632654,0.017142857142857144,0.010204081632653062
LOW_VOL,10,0.0,0.0,0.05714285714285714,0.03775510204081633,0.022857142857142857,0.015102040816326531
LOW_VOL,11,0.0,0.0,0.0663265306122449,0.053061224489795916,0.02653061224489796,0.02122448979591837
LOW_VOL,12,0.09012875536480687,0.22317596566523606,0.04285714285714286,0.07448979591836735,0.07122011036174127,0.16370149776648857
LOW_VOL,13,0.0,0.0,0.017346938775510204,0.05204081632653061,0.0069387755102040816,0.020816326530612245
LOW_VOL,14,0.0,0.0,0.02142857142857143,0.02040816326530612,0.008571428571428572,0.008163265306122448
LOW_VOL,15,0.0,0.0,0.02142857142857143,0.019387755102040816,0.008571428571428572,0.007755102040816327
LOW_VOL,16,0.11587982832618025,0.12875536480686695,0.015306122448979591,0.02142857142857143,0.07565034597529999,0.08582464745554874
LOW_VOL,17,0.0,0.0,0.027551020408163266,0.015306122448979591,0.011020408163265306,0.006122448979591837
LOW_VOL,18,0.0,0.0,0.03775510204081633,0.02857142857142857,0.015102040816326531,0.011428571428571429
LOW_VOL,19,0.0,0.0,0.04387755102040816,0.024489795918367346,0.017551020408163264,0.009795918367346938
LOW_VOL,20,0.2317596566523605,0.0944206008583691,0.044897959183673466,0.03979591836734694,0.15701497766488567,0.07257072786196024
LOW_VOL,21,0.0,0.0,0.05102040816326531,0.044897959183673466,0.020408163265306124,0.017959183673469388
LOW_VOL,22,0.0,0.0,0.05612244897959184,0.05,0.022448979591836737,0.020000000000000004
LOW_VOL,23,0.0,0.0,0.06326530612244897,0.04387755102040816,0.02530612244897959,0.017551020408163264
