ts,event_side,gap_low,gap_high,gap_bps,gap_size,atr,regime_bias,structure_regime,close,aligned,r_stop_anchor,reason_stop_anchor,r_tp_anchor,reason_tp_anchor
2024-04-12 01:00:00+00:00,bullish,17.588,17.695,60.21045523605836,0.10699999999999932,0.17223229034876267,bullish,BALANCE,17.771,True,-1.0,sl,0.6212540040159074,tp
2024-04-12 18:00:00+00:00,bearish,16.167,16.895,508.5929858879405,0.727999999999998,0.4885464123056761,bearish,BALANCE,14.314,True,0.0,time,-1.0,sl
2024-04-12 19:00:00+00:00,bearish,14.514,15.594,746.1139896373057,1.08,0.48472166856955623,bearish,BALANCE,14.475,True,1.0,tp,-1.0,sl
2024-04-13 02:00:00+00:00,bearish,15.019,15.101,54.82016312341271,0.08200000000000074,0.4209723153165002,bearish,IMBALANCE,14.958,True,-1.0,sl,-1.0,sl
2024-04-13 17:00:00+00:00,bearish,14.577,14.875,211.33252960782926,0.29800000000000004,0.31717981168453985,bearish,IMBALANCE,14.101,True,1.0,tp,-1.0,both_sl_first
2024-04-13 18:00:00+00:00,bearish,14.403,14.517,79.23820115381872,0.11399999999999899,0.326166967992787,bearish,BALANCE,14.387,True,1.0,tp,0.3495142402112284,tp
2024-04-13 20:00:00+00:00,bearish,13.595,13.96,300.53519967064653,0.3650000000000002,0.5278327428101072,bearish,IMBALANCE,12.145,True,-1.0,sl,-1.0,sl
2024-04-14 12:00:00+00:00,bearish,13.747,13.794,34.52835733176653,0.0470000000000006,0.3966561236489578,bearish,BALANCE,13.612,True,1.0,tp,0.11849054432245643,tp
2024-04-15 15:00:00+00:00,bearish,14.139,14.355,153.0937699340854,0.21600000000000108,0.31086271986812136,bearish,BALANCE,14.109,True,1.0,tp,0.6948404752156709,tp
2024-04-19 07:00:00+00:00,bullish,13.464,13.561,71.15088388469123,0.09699999999999953,0.2953737685263985,bullish,BALANCE,13.633,True,1.0,tp,0.32839747579457307,tp
2024-04-20 16:00:00+00:00,bullish,14.378,14.484,72.3006616192619,0.10599999999999987,0.1949107646488331,bullish,IMBALANCE,14.661,True,1.0,tp,0.5438386134853962,tp
2024-04-20 18:00:00+00:00,bullish,14.725,14.789,42.99052864915702,0.06400000000000006,0.1962291797227184,bullish,IMBALANCE,14.887,True,-1.0,sl,0.3261492510463276,tp
2024-04-22 00:00:00+00:00,bullish,14.986,14.995,5.976492462977997,0.008999999999998565,0.17311726879285758,bullish,BALANCE,15.059,True,1.0,tp,0.05198788117878323,tp
2024-04-22 03:00:00+00:00,bullish,15.308,15.422,72.04246713852424,0.11400000000000077,0.2116405391901996,bullish,IMBALANCE,15.824,True,-1.0,sl,0.5386491663468601,tp
2024-04-22 04:00:00+00:00,bullish,15.497,15.786,182.63397371081882,0.2889999999999997,0.21395192924804257,bullish,IMBALANCE,15.824,True,-1.0,sl,-1.0,sl
2024-04-24 05:00:00+00:00,bullish,15.31,15.343,21.449463763405575,0.032999999999999474,0.15751084093734044,bullish,BALANCE,15.385,True,-1.0,sl,0.20950938871012326,tp
2024-04-25 23:00:00+00:00,bearish,14.62,14.721,69.27297668038469,0.10100000000000087,0.1890880900945955,bearish,BALANCE,14.58,True,1.0,tp,0.5341425784642161,tp
2024-04-26 23:00:00+00:00,bearish,14.531,14.645,78.71297383138783,0.11399999999999899,0.16816752284980027,bearish,BALANCE,14.483,True,1.0,tp,0.6778954584579288,tp
2024-04-28 23:00:00+00:00,bearish,13.861,14.0,100.74653910270301,0.13899999999999935,0.12484141176875267,bearish,BALANCE,13.797,True,-1.0,sl,-1.0,sl
2024-04-30 09:00:00+00:00,bearish,13.645,13.897,186.62519440124467,0.25200000000000067,0.173607301030601,bearish,BALANCE,13.503,True,1.0,tp,1.4515518558495446,tp
2024-04-30 12:00:00+00:00,bearish,13.289,13.383,71.45572025845642,0.09399999999999942,0.18989586019104607,bearish,BALANCE,13.155,True,1.0,tp,0.4950081581843352,tp
2024-05-01 08:00:00+00:00,bearish,12.75,13.01,205.79388950451144,0.2599999999999998,0.2040910369673387,bearish,IMBALANCE,12.634,True,-1.0,sl,-1.0,sl
2024-05-02 01:00:00+00:00,bearish,13.208,13.241,25.2796077830546,0.032999999999999474,0.22959244824419156,bearish,BALANCE,13.054,True,-1.0,sl,-1.0,sl
2024-05-02 12:00:00+00:00,bullish,13.543,13.564,15.473032714412613,0.021000000000000796,0.16982876898143442,bullish,BALANCE,13.572,True,-1.0,sl,-1.0,sl
2024-05-04 17:00:00+00:00,bullish,14.296,14.339,29.933867037940157,0.04300000000000104,0.13769496202326761,bullish,BALANCE,14.365,True,-1.0,sl,0.31228448280289894,tp
2024-05-06 09:00:00+00:00,bullish,14.744,14.942,130.89178290474013,0.1980000000000004,0.13734059166866627,bullish,IMBALANCE,15.127,True,-1.0,sl,-1.0,sl
2024-05-07 09:00:00+00:00,bullish,14.32,14.466,100.83569307272535,0.14599999999999902,0.18080634304798365,bullish,BALANCE,14.479,True,-1.0,sl,0.80749379440329,tp
2024-05-07 18:00:00+00:00,bearish,14.332,14.402,49.02647429611886,0.06999999999999851,0.1782431923370725,bearish,BALANCE,14.278,True,1.0,tp,0.39272187106940226,tp
2024-05-08 00:00:00+00:00,bearish,14.015,14.112,69.36498855835207,0.09699999999999953,0.16791623693164004,bearish,BALANCE,13.984,True,1.0,tp,0.5776689721762208,tp
2024-05-10 17:00:00+00:00,bearish,13.692,13.723,22.79579380836869,0.031000000000000583,0.15785285928978304,bearish,BALANCE,13.599,True,-1.0,sl,0.19638541955766234,tp
2024-05-13 03:00:00+00:00,bearish,13.316,13.42,78.10739767179813,0.1039999999999992,0.12013444146202587,bearish,BALANCE,13.315,True,1.0,tp,0.8656967871521921,tp
2024-05-13 11:00:00+00:00,bearish,13.482,13.559,57.291666666666636,0.07699999999999996,0.14408595359833784,bearish,BALANCE,13.44,True,-1.0,sl,0.5344032369362606,tp
2024-05-13 18:00:00+00:00,bearish,13.415,13.444,21.703337823680357,0.02900000000000169,0.1522790291348866,bearish,BALANCE,13.362,True,-1.0,sl,-1.0,sl
2024-05-14 18:00:00+00:00,bearish,13.097,13.116,14.519333639003612,0.019000000000000128,0.15682122021626924,bearish,BALANCE,13.086,True,-1.0,sl,0.12115707283617355,tp
2024-05-16 19:00:00+00:00,bullish,13.986,14.365,252.90270919524858,0.37899999999999956,0.23366934656253532,bullish,IMBALANCE,14.986,True,1.0,tp,-1.0,sl
2024-05-16 20:00:00+00:00,bullish,14.426,14.654,152.79453156413334,0.22799999999999976,0.24176439323663992,bullish,IMBALANCE,14.922,True,1.0,tp,0.9430669129876078,tp
2024-05-16 22:00:00+00:00,bullish,15.001,15.457,289.6709439715419,0.4560000000000013,0.3006692982499599,bullish,IMBALANCE,15.742,True,1.0000000000000024,tp,-1.0,sl
2024-05-17 07:00:00+00:00,bullish,15.816,15.949,81.58007728638846,0.13299999999999912,0.3328783743235171,bullish,IMBALANCE,16.303,True,0.0,time,0.39954533024347016,tp
2024-05-17 08:00:00+00:00,bullish,16.1,16.177,46.791443850266276,0.07699999999999818,0.34360134758612304,bullish,IMBALANCE,16.456,True,-1.0,sl,0.22409690922617315,tp
2024-05-20 20:00:00+00:00,bullish,16.596,16.774,105.72582561178477,0.17800000000000082,0.29696895815750973,bullish,BALANCE,16.836,True,1.0,tp,0.5993892462847609,tp
2024-05-22 12:00:00+00:00,bearish,16.657,16.761,64.07097092163579,0.1039999999999992,0.23366800269345264,bearish,BALANCE,16.232,True,-1.0,sl,-1.0,sl
2024-05-22 13:00:00+00:00,bearish,16.383,16.572,115.68831486809087,0.18900000000000006,0.2286917167867773,bearish,BALANCE,16.337,True,-1.0,sl,-1.0,sl
