ts,event_side,gap_low,gap_high,gap_bps,gap_size,atr,regime_bias,structure_regime,close,aligned,r_stop_anchor,reason_stop_anchor,r_tp_anchor,reason_tp_anchor
2024-07-31 04:00:00+00:00,bullish,0.631,0.6363,82.00526071483787,0.005299999999999971,0.015936933361284888,bullish,BALANCE,0.6463,True,-1.0,sl,0.33256084341013215,tp
2024-08-02 08:00:00+00:00,bearish,0.5789,0.5794,8.712319219377173,0.000500000000000056,0.018330819629604662,bearish,BALANCE,0.5739,True,-1.0,both_sl_first,0.02727646717948958,tp
2024-08-04 16:00:00+00:00,bearish,0.5372,0.5416,82.16619981325789,0.0043999999999999595,0.017953126464298384,bearish,IMBALANCE,0.5355,True,1.0,tp,0.24508266060230854,tp
2024-08-05 04:00:00+00:00,bearish,0.4805,0.5222,889.3154190658993,0.041700000000000015,0.023920014155270973,bearish,IMBALANCE,0.4689,True,-1.0,sl,-1.0,sl
2024-08-15 20:00:00+00:00,bearish,0.5619,0.5656,66.0124888492424,0.0037000000000000366,0.0121912896008323,bearish,BALANCE,0.5605,True,-1.0,sl,0.30349537425043593,tp
2024-08-19 20:00:00+00:00,bullish,0.5865,0.5937,120.40133779264188,0.007199999999999984,0.01091874472692764,bullish,BALANCE,0.598,True,1.0,tp,0.6594164604144869,tp
2024-08-28 00:00:00+00:00,bearish,0.5694,0.5915,389.56460426582066,0.02210000000000001,0.011943928419687458,bearish,BALANCE,0.5673,True,0.0,time,-1.0,sl
2024-08-29 20:00:00+00:00,bearish,0.5649,0.57,90.8281389136241,0.005099999999999993,0.011642733013938922,bearish,BALANCE,0.5615,True,1.0,tp,0.4380414799423956,tp
2024-09-02 00:00:00+00:00,bearish,0.5505,0.5518,23.65787079162817,0.0012999999999999678,0.00896270528186761,bearish,BALANCE,0.5495,True,1.0,tp,0.14504549230576516,tp
2024-09-06 08:00:00+00:00,bearish,0.5395,0.5402,13.011152416357508,0.0007000000000000339,0.008906381458115226,bearish,IMBALANCE,0.538,True,-1.0,both_sl_first,0.0785953311445266,tp
