date,balance,daily_pnl
2022-07-17,7499.33,-692.36
2022-07-18,6861.52,-637.81
2022-07-19,5958.87,-902.65
2022-07-20,5625.89,-332.98
2022-07-21,5543.77,-82.12
2022-07-22,5434.28,-109.49
2022-07-24,5486.21,51.93
2022-07-25,5393.72,-92.49
2022-07-26,5718.91,325.19
2022-07-27,4694.22,-1024.69
2022-07-28,4489.45,-204.77
2022-07-29,4366.39,-123.06
2022-07-30,3980.36,-386.03
2022-08-01,4068.57,88.21
2022-08-05,3981.61,-86.96
2022-08-07,3815.13,-166.48
2022-08-08,3586.44,-228.69
2022-08-10,3190.82,-395.62
2022-08-11,3049.27,-141.55
2022-08-12,2960.38,-88.89
2022-08-13,2891.12,-69.26
2022-08-14,2825.96,-65.16
2022-08-15,2682.73,-143.23
2022-08-17,2653.56,-29.17
2022-08-19,3331.02,677.46
2022-08-20,3239.63,-91.39
2022-08-22,3041.63,-198.0
2022-08-23,3108.06,66.43
2022-08-24,3072.46,-35.6
2022-08-26,3125.17,52.71
2022-08-27,3153.95,28.78
2022-08-28,3066.75,-87.2
2022-08-29,3065.77,-0.98
2022-09-01,3003.87,-61.9
2022-09-02,2913.92,-89.95
2022-09-04,2764.32,-149.6
2022-09-05,2743.08,-21.24
2022-09-06,2609.74,-133.34
2022-09-07,2692.11,82.37
2022-09-08,2682.43,-9.68
2022-09-09,2385.98,-296.45
2022-09-10,2487.27,101.29
2022-09-11,2409.6,-77.67
2022-09-12,2257.81,-151.79
2022-09-13,2161.63,-96.18
2022-09-15,2138.53,-23.1
2022-09-17,2027.08,-111.45
2022-09-18,2069.72,42.64
2022-09-19,2033.11,-36.61
2022-09-20,1945.34,-87.77
2022-09-21,2059.73,114.39
2022-09-22,1993.2,-66.53
2022-09-24,2054.28,61.08
2022-09-25,2057.79,3.51
2022-09-27,1907.65,-150.14
2022-10-01,1946.95,39.3
2022-10-02,1908.66,-38.29
2022-10-03,1888.15,-20.51
2022-10-04,1846.02,-42.13
2022-10-05,1904.56,58.54
2022-10-06,1914.46,9.9
2022-10-09,1834.85,-79.61
2022-10-11,1811.23,-23.62
2022-10-12,1775.52,-35.71
2022-10-13,2162.21,386.69
2022-10-17,2092.21,-70.0
2022-10-19,2000.96,-91.25
2022-10-20,1890.33,-110.63
2022-10-21,1836.43,-53.9
2022-10-23,1939.33,102.9
2022-10-24,1900.17,-39.16
2022-10-26,1917.67,17.5
2022-10-28,1893.01,-24.66
2022-10-29,1817.98,-75.03
2022-11-03,1798.54,-19.44
2022-11-04,2356.85,558.31
2022-11-05,2319.28,-37.57
2022-11-06,2343.41,24.13
2022-11-07,2149.54,-193.87
2022-11-08,1911.71,-237.83
2022-11-09,1821.76,-89.95
2022-11-10,1802.02,-19.74
2022-11-13,1678.1,-123.92
2022-11-14,1604.68,-73.42
2022-11-19,1560.47,-44.21
2022-11-20,1416.48,-143.99
2022-11-21,1394.57,-21.91
2022-11-22,1326.38,-68.19
2022-11-23,1354.46,28.08
2022-11-24,1282.59,-71.87
2022-11-25,1254.25,-28.34
