stages,n_stages,mfe1,lock1,n,win_pct,be_pct,sl_pct,avg_r,total_r,max_dd,dd_per_trade,ann_r,delta_r
"[(2.5, 2.0)]",1,2.5,2.0,226,5.8,31.4,62.8,0.3204,72.41,11.98,0.053,16.9,-69.9
"[(3.0, 0.0)]",1,3.0,0.0,226,26.5,8.4,65.0,0.5542,125.26,11.06,0.0489,29.3,-17.0
"[(3.0, 0.25)]",1,3.0,0.25,226,26.5,8.4,65.0,0.5753,130.01,10.81,0.0478,30.4,-12.3
"[(3.0, 0.5)]",1,3.0,0.5,226,25.7,9.3,65.0,0.5631,127.26,10.56,0.0467,29.7,-15.0
"[(3.0, 0.75)]",1,3.0,0.75,226,23.9,11.1,65.0,0.5244,118.51,13.23,0.0585,27.7,-23.8
"[(3.0, 1.0)]",1,3.0,1.0,226,22.1,12.8,65.0,0.4945,111.76,12.98,0.0574,26.1,-30.5
"[(3.0, 1.25)]",1,3.0,1.25,226,21.2,13.7,65.0,0.5,113.01,12.73,0.0563,26.4,-29.3
"[(3.0, 1.5)]",1,3.0,1.5,226,19.0,15.9,65.0,0.4735,107.01,12.48,0.0552,25.0,-35.3
"[(3.0, 2.0)]",1,3.0,2.0,226,13.7,21.2,65.0,0.4337,98.01,11.98,0.053,22.9,-44.3
"[(2.5, 0.0), (3.0, 0.25)]",2,2.5,0.0,226,26.5,10.6,62.8,0.5969,134.91,10.28,0.0455,31.5,-7.4
"[(2.5, 0.0), (3.0, 0.5)]",2,2.5,0.0,226,25.7,11.5,62.8,0.5848,132.16,10.28,0.0455,30.9,-10.1
"[(2.5, 0.0), (3.0, 2.75)]",2,2.5,0.0,226,4.0,33.2,62.8,0.4686,105.91,11.23,0.0497,24.7,-36.4
"[(2.5, 0.0), (3.5, 0.25)]",2,2.5,0.0,226,26.5,10.6,62.8,0.5859,132.41,10.28,0.0455,30.9,-9.9
"[(2.5, 0.0), (3.5, 0.5)]",2,2.5,0.0,226,25.7,11.5,62.8,0.5626,127.16,10.28,0.0455,29.7,-15.1
"[(2.5, 0.0), (3.5, 3.25)]",2,2.5,0.0,226,6.6,30.5,62.8,0.5062,114.41,10.75,0.0476,26.7,-27.9
"[(2.5, 0.0), (4.0, 0.25)]",2,2.5,0.0,226,26.5,10.6,62.8,0.5781,130.66,10.29,0.0455,30.5,-11.6
"[(2.5, 0.0), (4.0, 0.5)]",2,2.5,0.0,226,26.5,10.6,62.8,0.5803,131.16,10.29,0.0455,30.6,-11.1
"[(2.5, 0.0), (4.0, 3.75)]",2,2.5,0.0,226,11.9,25.2,62.8,0.5361,121.16,10.29,0.0455,28.3,-21.1
"[(3.0, 0.25), (3.5, 0.5)]",2,3.0,0.25,226,25.7,9.3,65.0,0.552,124.76,10.56,0.0467,29.1,-17.5
"[(3.0, 0.25), (3.5, 0.75)]",2,3.0,0.25,226,24.8,10.2,65.0,0.5332,120.51,10.31,0.0456,28.1,-21.8
