trade_id,stream,sym,side,entry_ts,exit_ts,duration_h,entry_price,stop_price,tp_price,pnl_r,reason,bars_5m,risk_pct,balance_before,dollar_risk,dollar_pnl,balance_after
2093,S2,ETHUSDT,-1,2025-09-15 09:00:00+00:00,2025-09-17 23:00:00+00:00,62.0,4508.27,4600.4113727,4198.22554716,-1.281587,SL,745,3.3981,2049.5,69.64,-89.26,1805.34
2094,S3,SOLUSDT,-1,2025-09-15 09:00:00+00:00,2025-09-16 16:00:00+00:00,31.0,232.0,238.09505199,201.52474005,-1.011419,SL,373,1.0606,2049.5,21.74,-21.99,1921.66
2095,S3,LINKUSDT,-1,2025-09-15 09:00:00+00:00,2025-09-15 21:55:00+00:00,12.92,23.237,23.8161616,20.34119198,-1.012037,SL,156,1.0606,2049.5,21.74,-22.0,2027.51
2096,S1_BTCUSDT,BTCUSDT,-1,2025-09-16 20:00:00+00:00,2025-09-16 20:15:00+00:00,0.25,116757.1,116830.0,115809.4,-1.480482,SL,4,1.5086,1921.66,28.99,-42.92,1878.75
2097,S1_BTCUSDT,BTCUSDT,-1,2025-09-17 08:00:00+00:00,2025-09-17 08:10:00+00:00,0.17,117120.5,117266.4,115223.8,0.559176,BE,3,1.5086,1878.75,28.34,15.85,1894.59
2098,S4,LINKUSDT,1,2025-09-17 20:00:00+00:00,2025-09-21 17:15:00+00:00,93.25,23.435,22.8856423,34.14747509,-1.012798,SL,1120,1.9886,1894.59,37.68,-38.16,1585.3
2099,S1_SOLUSDT,SOLUSDT,-1,2025-09-18 00:00:00+00:00,2025-09-18 01:40:00+00:00,1.67,244.74,246.55,221.21,-1.040565,SL,21,2.7132,1805.34,48.98,-50.97,1754.37
2100,S1_BTCUSDT,BTCUSDT,-1,2025-09-18 04:00:00+00:00,2025-09-18 04:35:00+00:00,0.58,117531.3,117865.9,113181.5,0.694622,BE,8,1.5086,1754.37,26.47,18.38,1772.75
2101,S1_XRPUSDT,XRPUSDT,-1,2025-09-18 12:00:00+00:00,2025-09-18 12:00:00+00:00,0.0,3.1358,3.1367,3.1241,-2.045267,SL,1,4.1176,1772.75,72.99,-149.29,1623.46
2102,S2,LINKUSDT,-1,2025-09-19 12:00:00+00:00,2025-09-22 06:00:00+00:00,66.0,23.848,24.2578114,21.42202041,4.237466,TP,793,3.3981,1623.46,55.17,233.77,1946.01
2103,S2,ETHUSDT,-1,2025-09-22 00:00:00+00:00,2025-09-22 02:25:00+00:00,2.42,4443.0,4465.82590547,4283.9986903,4.214372,TP,30,3.3981,1585.3,53.87,227.03,1812.33
2104,S3,ETHUSDT,-1,2025-09-22 01:00:00+00:00,2025-09-22 06:00:00+00:00,5.0,4333.44,4387.55549624,4062.86251882,4.975977,TP,61,1.0606,1585.3,16.81,83.66,2029.68
2105,S3,LINKUSDT,-1,2025-09-22 01:00:00+00:00,2025-09-22 06:00:00+00:00,5.0,22.318,22.71661259,20.32493703,4.983203,TP,61,1.0606,1585.3,16.81,83.79,2113.46
2106,S3,DOGEUSDT,-1,2025-09-22 01:00:00+00:00,2025-10-02 06:30:00+00:00,245.5,0.24978,0.25585625,0.21939874,-1.012332,SL,2947,1.0606,1585.3,16.81,-17.02,2136.13
2107,S1_ETHUSDT,ETHUSDT,1,2025-09-22 04:00:00+00:00,2025-09-22 05:55:00+00:00,1.92,4303.61,4254.29,4944.77,-1.026178,SL,24,1.2411,1812.33,22.49,-23.08,1712.24
2108,S1_XRPUSDT,XRPUSDT,1,2025-09-22 04:00:00+00:00,2025-09-22 05:40:00+00:00,1.67,2.9025,2.8752,3.2574,-1.031896,SL,21,4.1176,1812.33,74.62,-77.0,1735.33
2109,S3,BTCUSDT,-1,2025-09-22 06:00:00+00:00,2025-09-25 17:20:00+00:00,83.33,113615.0,114367.99259801,109850.03700993,4.954735,TP,1001,1.0606,1712.24,18.16,89.98,2114.47
2110,S3,ETHUSDT,-1,2025-09-22 06:00:00+00:00,2025-09-25 17:20:00+00:00,83.33,4217.7,4285.41715696,3879.11421521,4.981315,TP,1001,1.0606,1712.24,18.16,90.46,2204.93
2111,S3,SOLUSDT,-1,2025-09-22 06:00:00+00:00,2025-09-25 09:55:00+00:00,75.92,224.93,229.44299533,202.36502333,4.985048,TP,912,1.0606,1712.24,18.16,90.53,2024.49
2112,S3,LINKUSDT,-1,2025-09-22 06:00:00+00:00,2025-10-01 08:45:00+00:00,218.75,21.672,22.13315195,19.36624026,-1.014099,SL,2626,1.0606,1712.24,18.16,-18.42,2277.83
2113,S3,DOGEUSDT,-1,2025-09-22 06:00:00+00:00,2025-09-24 14:50:00+00:00,56.83,0.24398,0.25046157,0.21157217,-1.011293,SL,683,1.0606,1712.24,18.16,-18.37,1933.96
2114,S3,XRPUSDT,-1,2025-09-22 06:00:00+00:00,2025-09-23 16:50:00+00:00,34.83,2.8449,2.8923175,2.60781249,-1.017999,SL,419,1.0606,1712.24,18.16,-18.49,1958.92
2115,S1_BTCUSDT,BTCUSDT,1,2025-09-22 08:00:00+00:00,2025-09-23 03:10:00+00:00,19.17,112454.5,111469.2,125263.4,-1.03424,SL,231,1.5086,2113.46,31.88,-32.98,1977.41
2116,S1_SOLUSDT,SOLUSDT,1,2025-09-22 08:00:00+00:00,2025-09-23 03:05:00+00:00,19.08,221.82,212.29,345.71,-1.006983,SL,230,2.7132,2113.46,57.34,-57.74,2010.38
2117,S3,SOLUSDT,-1,2025-09-22 08:00:00+00:00,2025-09-25 23:35:00+00:00,87.58,221.82,227.815797,191.84101501,4.988901,TP,1052,1.0606,2113.46,22.42,111.83,2308.74
2118,S3,DOGEUSDT,-1,2025-09-22 08:00:00+00:00,2025-09-24 14:10:00+00:00,54.17,0.2376,0.24580053,0.19659733,-1.008692,SL,651,1.0606,2113.46,22.42,-22.61,1952.32
2119,S3,XRPUSDT,-1,2025-09-22 08:00:00+00:00,2025-09-22 15:05:00+00:00,7.08,2.8045,2.87250489,2.46447556,-1.012372,SL,86,1.0606,2113.46,22.42,-22.69,2090.77
2120,S3,LINKUSDT,-1,2025-09-22 10:00:00+00:00,2025-09-23 00:15:00+00:00,14.25,21.091,21.71500882,17.9709559,-1.01014,SL,172,1.0606,2113.46,22.42,-22.64,2068.13
2121,S1_XRPUSDT,XRPUSDT,1,2025-09-22 20:00:00+00:00,2025-10-04 15:00:00+00:00,283.0,2.8331,2.6704,4.9482,0.794776,BE,3397,4.1176,2090.77,86.09,68.42,2204.55
2122,S1_BTCUSDT,BTCUSDT,1,2025-09-23 20:00:00+00:00,2025-09-23 20:00:00+00:00,0.0,111611.7,111482.0,113297.8,0.541839,BE,1,1.5086,1958.92,29.55,16.01,1974.93
2123,S3,BTCUSDT,-1,2025-09-25 18:00:00+00:00,2025-09-26 18:25:00+00:00,24.42,108793.9,110234.07289139,101593.03554307,-1.022663,SL,294,1.0606,2245.0,23.81,-24.35,2249.79
2124,S3,ETHUSDT,-1,2025-09-25 18:00:00+00:00,2025-09-25 19:25:00+00:00,1.42,3837.04,3944.65236792,3298.97816041,-1.010697,SL,18,1.0606,2245.0,23.81,-24.07,2196.91
2125,S3,DOGEUSDT,-1,2025-09-25 18:00:00+00:00,2025-09-25 19:20:00+00:00,1.33,0.22134,0.22859844,0.18504779,-1.009148,SL,17,1.0606,2245.0,23.81,-24.03,2220.97
2126,S1_BTCUSDT,BTCUSDT,1,2025-09-25 20:00:00+00:00,2025-09-26 11:15:00+00:00,15.25,109320.5,108574.1,119023.7,-1.043939,SL,184,1.5086,2196.91,33.14,-34.6,2274.14
2127,S1_BTCUSDT,BTCUSDT,1,2025-09-27 08:00:00+00:00,2025-09-28 15:10:00+00:00,31.17,109354.9,108953.7,114570.5,0.718229,BE,375,1.5086,2249.79,33.94,24.38,2274.16
2128,S1_BTCUSDT,BTCUSDT,-1,2025-09-30 20:00:00+00:00,2025-09-30 20:05:00+00:00,0.08,114309.1,114528.2,111460.8,0.643484,BE,2,1.5086,2274.16,34.31,22.08,2296.24
2129,S3,DOGEUSDT,-1,2025-10-01 11:00:00+00:00,2025-10-01 19:15:00+00:00,8.25,0.2414,0.24691903,0.21380486,-1.013122,SL,100,1.0606,2277.83,24.16,-24.48,2153.15
2130,S1_ETHUSDT,ETHUSDT,-1,2025-10-01 12:00:00+00:00,2025-10-01 14:30:00+00:00,2.5,4295.88,4329.0,3865.32,-1.038912,SL,31,1.2411,2277.83,28.27,-29.37,2248.46
2131,S1_SOLUSDT,SOLUSDT,-1,2025-10-01 16:00:00+00:00,2025-10-01 16:05:00+00:00,0.08,220.13,220.54,214.8,-1.161071,SL,2,2.7132,2248.46,61.01,-70.83,2177.62
2132,S1_SOLUSDT,SOLUSDT,-1,2025-10-05 04:00:00+00:00,2025-10-05 04:35:00+00:00,0.58,230.79,232.19,212.59,-1.049455,SL,8,2.7132,2204.55,59.81,-62.77,2141.78
2133,S1_ETHUSDT,ETHUSDT,-1,2025-10-06 04:00:00+00:00,2025-10-06 05:00:00+00:00,1.0,4534.9,4551.74,4315.98,0.719212,BE,13,1.2411,2141.78,26.58,19.12,2160.89
2134,S1_SOLUSDT,SOLUSDT,-1,2025-10-06 16:00:00+00:00,2025-10-06 16:10:00+00:00,0.17,235.55,236.62,221.64,0.733958,BE,3,2.7132,2160.89,58.63,43.03,2203.93
2135,S3,LINKUSDT,-1,2025-10-07 15:00:00+00:00,2025-10-10 20:55:00+00:00,77.92,22.178,22.78269355,19.15453227,4.988997,TP,936,1.0606,2203.93,23.37,116.62,2244.18
2136,S3,DOGEUSDT,-1,2025-10-07 15:00:00+00:00,2025-10-10 20:55:00+00:00,77.92,0.25474,0.26175252,0.21967742,4.989102,TP,936,1.0606,2203.93,23.37,116.62,2360.8
2137,S3,BTCUSDT,-1,2025-10-07 18:00:00+00:00,2025-10-08 08:40:00+00:00,14.67,121073.2,122731.57223643,112781.33881786,-1.021902,SL,177,1.0606,2203.93,23.37,-23.89,2180.04
2138,S2,SOLUSDT,-1,2025-10-09 09:00:00+00:00,2025-10-09 12:35:00+00:00,3.58,219.88,225.12316935,197.03373679,-0.987637,SL,44,3.3981,2180.04,74.08,-73.16,2106.88
2139,S4,SOLUSDT,1,2025-10-09 18:00:00+00:00,2025-10-10 15:20:00+00:00,21.33,219.21,213.32080663,334.04927081,-1.011167,SL,257,1.9886,2106.88,41.9,-42.37,2064.51
