ym,stream,n_trades,total_r,total_pnl
2023-09,S3,10,7.831214999999999,208.39999999999998
2023-09,S4,12,14.177028999999997,828.3
2023-10,S1_BTCUSDT,8,-16.697182,-920.0
2023-10,S1_ETHUSDT,5,-3.393752,-146.05
2023-10,S1_LINKUSDT,7,-3.7359430000000007,-372.17
2023-10,S1_SOLUSDT,7,-0.10780799999999979,49.139999999999986
2023-10,S2,2,8.466413,808.52
2023-10,S3,5,-5.073602,-203.57
2023-10,S4,8,55.348843,2940.19
2023-11,S1_BTCUSDT,3,0.4854719999999999,16.519999999999996
2023-11,S1_ETHUSDT,6,-4.72483,-259.93
2023-11,S1_LINKUSDT,4,-2.438796,-312.65
2023-11,S1_SOLUSDT,6,-0.7745370000000001,-140.73999999999998
2023-11,S2,2,-1.8038699999999999,-274.09
2023-11,S3,3,-3.0362169999999997,-138.34
2023-11,S4,8,-6.100528,-522.15
2023-12,S1_ETHUSDT,6,-0.928548,-30.4
2023-12,S1_LINKUSDT,8,-5.187913,-434.62
2023-12,S1_SOLUSDT,6,0.912517,72.39999999999998
2023-12,S2,4,-2.98414,-310.07
2023-12,S3,3,-3.0369289999999998,-88.17
2023-12,S4,12,-6.138192999999999,-398.0
2024-01,S1_BTCUSDT,7,-3.0718550000000002,-107.73000000000002
2024-01,S1_ETHUSDT,7,-0.32029399999999986,-11.11
2024-01,S1_LINKUSDT,1,0.797871,51.61
2024-01,S1_SOLUSDT,4,1.232348,75.98
2024-01,S2,4,0.6932210000000005,13.299999999999969
2024-01,S3,9,-3.14414,-82.10000000000001
2024-01,S4,9,-5.144041,-234.54999999999998
2024-02,S1_BTCUSDT,3,-4.465237,-139.09
2024-02,S1_ETHUSDT,8,-3.8939779999999997,-98.49000000000001
2024-02,S1_SOLUSDT,5,-5.559864,-394.02
2024-02,S2,4,-3.987837,-293.65
2024-02,S3,8,-8.139393,-187.77
2024-02,S4,12,75.767658,3006.2599999999998
2024-03,S1_BTCUSDT,8,-1.2036219999999997,-103.22999999999999
2024-03,S1_ETHUSDT,11,-0.8585709999999999,-53.03999999999999
2024-03,S1_SOLUSDT,11,1.1132090000000001,126.53
2024-03,S3,4,-4.039446,-173.60999999999999
2024-03,S4,6,14.434586,291.06999999999994
2024-04,S1_BTCUSDT,6,-4.532358,-253.34
2024-04,S1_ETHUSDT,5,-5.246715,-221.48000000000002
2024-04,S1_LINKUSDT,4,-0.7298429999999997,-56.81
2024-04,S1_SOLUSDT,1,-1.004844,-95.13
2024-04,S2,5,9.981968,936.49
2024-04,S3,17,6.772579,245.15999999999997
2024-04,S4,13,-7.148381,-494.45
2024-05,S1_BTCUSDT,4,-2.6493070000000003,-159.82
2024-05,S1_ETHUSDT,5,-3.483405,-177.72
2024-05,S1_LINKUSDT,12,-0.6216140000000003,-49.50999999999998
2024-05,S1_SOLUSDT,1,0.798391,74.94
2024-05,S2,1,-0.792624,-106.38
2024-05,S3,5,0.9401449999999996,-12.110000000000007
2024-05,S4,5,17.404186000000003,1340.32
2024-06,S1_BTCUSDT,5,-4.008516,-351.63
2024-06,S1_ETHUSDT,1,0.79064,56.17
2024-06,S2,4,11.782453,1878.75
2024-06,S3,13,4.758578999999999,42.95999999999999
2024-06,S4,10,-8.133568,-1031.29
2024-07,S1_BTCUSDT,6,5.122529,387.73
2024-07,S1_ETHUSDT,10,-5.1864609999999995,-369.58
2024-07,S1_LINKUSDT,3,-1.295739,-196.35
2024-07,S1_XRPUSDT,6,4.623876,1069.72
2024-07,S2,6,-0.17850200000000038,-53.53000000000003
2024-07,S3,9,-3.1022180000000006,-192.37
2024-07,S4,5,-3.07063,-355.31
2024-08,S1_BTCUSDT,6,-4.701108,-495.88
2024-08,S1_ETHUSDT,6,-2.698631,-220.28
2024-08,S1_LINKUSDT,5,-5.4908280000000005,-1060.78
2024-08,S1_SOLUSDT,2,-0.27420900000000004,-44.900000000000006
2024-08,S1_XRPUSDT,3,0.532033,137.76
2024-08,S2,8,8.429837000000001,1531.25
2024-08,S3,9,8.877232,499.93
2024-08,S4,6,-2.090961,-348.26
2024-09,S1_BTCUSDT,2,4.422276,381.64
2024-09,S1_ETHUSDT,5,-1.5600140000000002,-78.05
2024-09,S1_LINKUSDT,7,-6.66974,-903.59
2024-09,S2,2,-3.238564,-661.47
2024-09,S3,14,-8.197346,-468.24
2024-09,S4,8,-4.133701,-362.27
2024-10,S1_BTCUSDT,4,1.2484709999999999,84.57
2024-10,S1_ETHUSDT,8,0.533588,17.340000000000003
2024-10,S1_LINKUSDT,5,0.01732900000000015,-9.920000000000023
2024-10,S1_SOLUSDT,7,-2.486897,-319.77
2024-10,S1_XRPUSDT,3,-1.256896,-233.48999999999998
2024-10,S2,11,1.807829,116.47999999999992
2024-10,S3,9,2.8448679999999995,107.50999999999998
2024-10,S4,11,-1.2066640000000002,-64.87
2024-11,S1_BTCUSDT,6,4.552047,324.88
2024-11,S1_ETHUSDT,9,-2.314678,-133.28
2024-11,S1_LINKUSDT,5,-1.6843329999999999,-182.33
2024-11,S1_SOLUSDT,6,3.403918,287.38
2024-11,S1_XRPUSDT,8,-2.916409,-578.97
2024-11,S2,6,-6.264062,-830.31
2024-11,S3,6,-0.0670050000000002,-40.93
2024-11,S4,2,18.461875,1458.92
2024-12,S1_BTCUSDT,7,-6.196657999999999,-319.97
2024-12,S1_ETHUSDT,5,0.21723799999999982,-1.1300000000000026
2024-12,S1_LINKUSDT,8,-2.902163,-306.33000000000004
2024-12,S1_SOLUSDT,1,0.787865,71.85
2024-12,S1_XRPUSDT,5,3.792149,534.83
2024-12,S2,10,-8.425674,-928.95
2024-12,S3,28,-4.2110769999999995,-239.77000000000004
2024-12,S4,3,0.9610499999999997,85.68
2025-01,S1_BTCUSDT,6,-2.617699,-78.11999999999999
2025-01,S1_ETHUSDT,6,-1.441242,-39.61999999999999
2025-01,S1_LINKUSDT,13,-4.166059,-347.85999999999996
2025-01,S1_SOLUSDT,7,6.133233999999999,379.20000000000005
2025-01,S1_XRPUSDT,5,0.09345700000000001,30.85000000000001
2025-01,S2,3,2.634759,187.22000000000006
2025-01,S3,20,-8.239633000000001,-211.09
2025-01,S4,4,-0.036802,12.499999999999993
2025-02,S1_ETHUSDT,3,-1.412608,-87.85
2025-02,S1_LINKUSDT,4,-2.315172,-290.32
2025-02,S1_SOLUSDT,2,-2.078242,-236.16
2025-02,S1_XRPUSDT,5,0.0834950000000001,-31.47999999999999
2025-02,S2,12,5.864452,398.35
2025-02,S3,28,73.628246,2443.4100000000003
2025-02,S4,5,0.9296129999999998,64.58000000000001
2025-03,S1_ETHUSDT,5,0.18563300000000005,5.540000000000003
2025-03,S1_LINKUSDT,10,-5.074174,-529.29
2025-03,S1_SOLUSDT,1,0.793516,104.34
2025-03,S1_XRPUSDT,5,-1.765514,-414.43
2025-03,S2,7,-6.147729,-916.79
2025-03,S3,21,-3.1536550000000005,-114.97999999999999
2025-04,S1_ETHUSDT,3,-1.260009,-47.400000000000006
2025-04,S1_LINKUSDT,2,-0.23787499999999995,1.6000000000000085
2025-04,S1_XRPUSDT,6,-7.52179,-1164.13
2025-04,S2,4,6.375749000000001,665.55
2025-04,S3,18,-0.1753269999999998,33.309999999999995
2025-04,S4,1,-1.008775,-79.73
2025-05,S1_ETHUSDT,5,-0.07842300000000013,-4.009999999999998
2025-05,S1_LINKUSDT,6,-2.840739,-182.51000000000002
2025-05,S1_SOLUSDT,6,-4.5073170000000005,-361.46000000000004
2025-05,S1_XRPUSDT,4,2.008649,76.37999999999991
2025-05,S2,10,-3.4607210000000004,-394.55
2025-05,S3,4,-4.06191,-130.18
2025-05,S4,12,34.819679,1494.1299999999999
2025-06,S1_BTCUSDT,8,-5.118565,-332.96999999999997
2025-06,S1_ETHUSDT,3,-3.0658190000000003,-159.48000000000002
2025-06,S1_LINKUSDT,5,-3.634909,-321.13
2025-06,S1_SOLUSDT,7,-3.5996360000000003,-355.89
2025-06,S1_XRPUSDT,7,-2.0226770000000003,-361.37
2025-06,S2,8,28.992798,2937.0099999999998
2025-06,S3,13,-7.170626,-258.04
2025-06,S4,2,-0.018658000000000063,15.550000000000004
2025-07,S1_BTCUSDT,5,-0.42145999999999995,-40.16
2025-07,S1_ETHUSDT,7,-2.521265,-118.67
2025-07,S1_LINKUSDT,7,-2.120292,-245.98
2025-07,S1_SOLUSDT,3,-3.122085,-341.58000000000004
2025-07,S1_XRPUSDT,5,0.20848500000000003,45.3
2025-07,S2,6,-4.012307,-531.52
2025-07,S3,5,-5.1179689999999995,-216.32
2025-07,S4,7,15.292404000000001,668.26
2025-08,S1_BTCUSDT,4,2.7093350000000003,139.96
2025-08,S1_ETHUSDT,4,-2.5951180000000003,-145.9
2025-08,S1_LINKUSDT,4,-4.131308,-450.45
2025-08,S1_SOLUSDT,10,-3.521383,-308.05
2025-08,S1_XRPUSDT,3,0.40782300000000005,68.43
2025-08,S2,17,2.677974,434.31000000000006
2025-08,S3,20,-20.309734,-747.32
2025-08,S4,2,-2.0277279999999998,-165.53
2025-09,S1_BTCUSDT,11,1.125878,35.18999999999999
2025-09,S1_ETHUSDT,2,-2.064791,-49.81999999999999
2025-09,S1_LINKUSDT,1,5.488168,454.58
2025-09,S1_SOLUSDT,4,-4.116343,-228.81
2025-09,S1_XRPUSDT,7,-3.130021,-252.75
2025-09,S2,9,1.781847,-58.75
2025-09,S3,22,13.620496000000001,180.92
