session_day,anchor_ms,anchor_et,event_type,level,hit_ms,hit_et,minutes_to_hit,anchor_close,hit_close,move_anchor_to_hit_pct,hit_candle_range,hit_candle_range_pct_of_level,hit_candle_volume,hit_volume_zscore_24bars,forward_close,forward_return_pct,continuation_move_abs,continuation_move_pct_of_level
2025-02-14,1739570400000,2025-02-14 17:00,daily_high,2.6036,1739570400000,2025-02-14 17:00,0.0,2.7411,2.7411,0.0,0.011500000000000288,0.4417,2441293.0,0.0,2.7181,-0.8391,0.1389,5.3349
2025-02-17,1739829600000,2025-02-17 17:00,daily_low,2.6855,1739829600000,2025-02-17 17:00,0.0,2.6729,2.6729,0.0,0.01289999999999969,0.4804,3761372.5,0.0,2.6548,-0.6772,0.0362,1.348
2025-02-18,1739916000000,2025-02-18 17:00,daily_low,2.6063,1739916000000,2025-02-18 17:00,0.0,2.5342,2.5342,0.0,0.007700000000000262,0.2954,1529329.7,0.0,2.5491,0.588,0.0806,3.0925
2025-02-19,1740002400000,2025-02-19 17:00,daily_high,2.649,1740002400000,2025-02-19 17:00,0.0,2.6729,2.6729,0.0,0.008299999999999752,0.3133,2533264.8,0.0,2.713,1.5002,0.0687,2.5934
2025-02-21,1740175200000,2025-02-21 17:00,daily_low,2.6379,1740175200000,2025-02-21 17:00,0.0,2.5393,2.5393,0.0,0.010299999999999976,0.3905,1584430.6,0.0,2.5559,0.6537,0.1022,3.8743
2025-03-03,1741039200000,2025-03-03 17:00,daily_low,2.2191,1741053900000,2025-03-03 21:05,245.0,2.3628,2.2414,-5.138,0.06060000000000043,2.7308,27449766.0,2.5778,2.2968,2.4717,0.0076,0.3425
2025-03-05,1741212000000,2025-03-05 17:00,daily_high,2.5393,1741225500000,2025-03-05 20:45,225.0,2.4987,2.5369,1.5288,0.04059999999999997,1.5989,21962051.1,18.5107,2.5124,-0.9657,-0.0024,-0.0945
2025-03-06,1741298400000,2025-03-06 17:00,daily_high,2.5472,1741298400000,2025-03-06 17:00,0.0,2.6153,2.6153,0.0,0.02259999999999973,0.8872,8050344.2,0.0,2.5903,-0.9559,0.072,2.8266
2025-03-06,1741298400000,2025-03-06 17:00,daily_low,2.4069,1741307100000,2025-03-06 19:25,145.0,2.6153,2.4396,-6.7182,0.06479999999999997,2.6923,41763175.2,1.9824,2.4766,1.5166,0.0343,1.4251
2025-03-07,1741384800000,2025-03-07 17:00,daily_low,2.3726,1741384800000,2025-03-07 17:00,0.0,2.374,2.374,0.0,0.032200000000000006,1.3572,10465903.7,0.0,2.3907,0.7035,0.0303,1.2771
2025-03-12,1741813200000,2025-03-12 17:00,daily_high,2.2449,1741824000000,2025-03-12 20:00,180.0,2.2321,2.2418,0.4346,0.01499999999999968,0.6682,3336244.0,2.6553,2.2271,-0.6557,0.0071,0.3163
2025-03-13,1741899600000,2025-03-13 17:00,daily_high,2.2773,1741919100000,2025-03-13 22:25,325.0,2.2265,2.277,2.2681,0.010699999999999932,0.4699,6807861.9,4.115,2.2838,0.2986,0.0226,0.9924
2025-03-17,1742245200000,2025-03-17 17:00,daily_low,2.2668,1742279400000,2025-03-18 02:30,570.0,2.3484,2.2686,-3.3981,0.010499999999999954,0.4632,3155109.4,1.2718,2.2783,0.4276,0.0248,1.0941
2025-03-18,1742331600000,2025-03-18 17:00,daily_low,2.2726,1742331600000,2025-03-18 17:00,0.0,2.2537,2.2537,0.0,0.0032999999999998586,0.1452,1100900.6,0.0,2.2653,0.5147,0.0209,0.9197
2025-03-19,1742418000000,2025-03-19 17:00,daily_high,2.3071,1742418000000,2025-03-19 17:00,0.0,2.5039,2.5039,0.0,0.01990000000000025,0.8626,4920845.1,0.0,2.5065,0.1038,0.2123,9.202
2025-03-21,1742590800000,2025-03-21 17:00,daily_low,2.3877,1742594400000,2025-03-21 18:00,60.0,2.3986,2.3908,-0.3252,0.012399999999999967,0.5193,3300358.0,3.4724,2.3832,-0.3179,0.0107,0.4481
2025-03-24,1742850000000,2025-03-24 17:00,daily_high,2.4571,1742850000000,2025-03-24 17:00,0.0,2.4579,2.4579,0.0,0.0044999999999997264,0.1831,1437705.7,0.0,2.4566,-0.0529,0.0106,0.4314
2025-03-31,1743454800000,2025-03-31 17:00,daily_high,2.1971,1743498000000,2025-04-01 05:00,720.0,2.0885,2.1859,4.6636,0.032099999999999795,1.461,18803449.8,3.1083,2.1758,-0.4621,-0.0026,-0.1183
2025-03-31,1743454800000,2025-03-31 17:00,daily_low,2.0765,1743459600000,2025-03-31 18:20,80.0,2.0885,2.0766,-0.5698,0.006200000000000205,0.2986,2707408.0,1.2343,2.0881,0.5538,0.0023,0.1108
2025-04-01,1743541200000,2025-04-01 17:00,daily_high,2.1386,1743541200000,2025-04-01 17:00,0.0,2.1378,2.1378,0.0,0.005700000000000038,0.2665,1089168.0,0.0,2.1406,0.131,0.0124,0.5798
2025-04-04,1743800400000,2025-04-04 17:00,daily_high,2.0808,1743800400000,2025-04-04 17:00,0.0,2.1362,2.1362,0.0,0.0043000000000001926,0.2067,1499926.8,0.0,2.1443,0.3792,0.0747,3.59
2025-04-09,1744232400000,2025-04-09 17:00,daily_high,1.9748,1744232400000,2025-04-09 17:00,0.0,2.0596,2.0596,0.0,0.020500000000000185,1.0381,10321969.9,0.0,2.0744,0.7186,0.1134,5.7424
2025-04-11,1744405200000,2025-04-11 17:00,daily_high,2.0459,1744405200000,2025-04-11 17:00,0.0,2.0474,2.0474,0.0,0.0041999999999999815,0.2053,1522304.1,0.0,2.0322,-0.7424,0.0063,0.3079
2025-04-15,1744750800000,2025-04-15 17:00,daily_low,2.1022,1744755300000,2025-04-15 18:15,75.0,2.1114,2.1017,-0.4594,0.0038999999999997925,0.1855,1745269.1,0.6754,2.0872,-0.6899,0.0166,0.7896
2025-04-16,1744837200000,2025-04-16 17:00,daily_low,2.0646,1744860300000,2025-04-16 23:25,385.0,2.0973,2.0619,-1.6879,0.00649999999999995,0.3148,2597254.5,3.4763,2.0726,0.5189,0.0028,0.1356
2025-04-24,1745528400000,2025-04-24 17:00,daily_low,2.1711,1745549400000,2025-04-24 22:50,350.0,2.2036,2.1704,-1.5066,0.008299999999999752,0.3823,6558354.7,2.6916,2.1828,0.5713,0.0089,0.4099
2025-04-25,1745614800000,2025-04-25 17:00,daily_high,2.2367,1745652300000,2025-04-26 03:25,625.0,2.1957,2.238,1.9265,0.009100000000000108,0.4068,4864651.2,0.5199,2.2287,-0.4155,0.0114,0.5097
