symbol,tp_r,entry_ts_utc,exit_ts_utc,entry_idx_4h,side,entry_price,stop_init,risk,tp_price,mfe1,lock1,mfe2,lock2,mfe3,lock3,rsi_l,rsi_h,rsi_window,sl_n,entry_tp_r,fee_bps,baseline_r,managed_r,managed_reason,hold_5m_bars
BTCUSDT,14.0,2022-09-21T00:00:00+00:00,2022-09-21T03:05:00+00:00,1197,1,18866.7,18690.1,176.60000000000218,21339.10000000003,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0320498867497165,0.6679501132502897,BE,38
BTCUSDT,14.0,2022-09-22T00:00:00+00:00,2022-09-22T06:35:00+00:00,1203,1,18447.5,18084.3,363.2000000000007,23532.30000000001,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0152374724669604,0.6847625275330427,BE,80
BTCUSDT,14.0,2022-10-11T04:00:00+00:00,2022-10-11T11:55:00+00:00,1318,1,19039.6,18935.7,103.89999999999782,20494.199999999968,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.054974783445622,0.6450252165543886,BE,96
BTCUSDT,14.0,2022-10-11T20:00:00+00:00,2022-10-12T06:00:00+00:00,1322,1,18991.3,18850.0,141.29999999999927,20969.49999999999,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0403212314225054,0.6596787685774971,BE,121
BTCUSDT,14.0,2022-10-13T12:00:00+00:00,2022-10-13T12:25:00+00:00,1332,1,18745.0,18550.0,195.0,21475.0,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0288384615384616,0.6711615384615384,BE,6
BTCUSDT,14.0,2022-10-26T16:00:00+00:00,2022-10-26T19:15:00+00:00,1411,-1,20835.6,21030.0,194.40000000000146,18113.999999999978,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0321537037037034,0.6678462962963003,BE,40
BTCUSDT,14.0,2022-11-08T08:00:00+00:00,2022-11-08T14:40:00+00:00,1487,1,19785.6,19335.0,450.59999999999854,26093.999999999978,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0131728362183756,-1.0131728362183756,SL,81
BTCUSDT,14.0,2022-11-14T12:00:00+00:00,2022-11-21T19:25:00+00:00,1524,1,16740.9,15805.5,935.4000000000015,29836.500000000022,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0053691148171906,-1.0053691148171906,SL,2106
BTCUSDT,14.0,2022-12-14T16:00:00+00:00,2022-12-14T16:00:00+00:00,1705,-1,18054.8,18111.5,56.70000000000073,17260.99999999999,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0955280423280411,-1.0955280423280411,SL,1
BTCUSDT,14.0,2022-12-17T00:00:00+00:00,2022-12-17T05:30:00+00:00,1719,1,16624.1,16521.1,103.0,18066.1,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0484197087378642,0.6515802912621218,BE,67
BTCUSDT,14.0,2022-12-19T20:00:00+00:00,2022-12-19T20:40:00+00:00,1736,1,16549.3,16511.9,37.39999999999782,17072.89999999997,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.1327483957219329,0.5672516042780185,BE,9
BTCUSDT,14.0,2022-12-29T00:00:00+00:00,2022-12-29T09:20:00+00:00,1791,1,16538.9,16455.6,83.30000000000291,17705.100000000042,1.0,0.7,6.5,5.5,,,40,70,28,2,5.0,3.0,-1.0595638655462165,0.6404361344537749,BE,113
