tf_rule,bar_start_utc,bar_end_utc,hour_utc,weekday,weekday_name,event,atr,atr_roc_1,d_atr,close,fwd_range_pct_48m,fwd_range_pct_192m,fwd_range_pct_288m
4h,2022-08-26T12:00:00+00:00,2022-08-26T16:00:00+00:00,16,4,Friday,expand,0.008015935105138709,0.1410822245195218,0.000991081914989333,0.34,2.470588235294123,4.970588235294125,4.970588235294125
4h,2022-08-28T08:00:00+00:00,2022-08-28T12:00:00+00:00,12,6,Sunday,contract,0.006769647944445514,-0.04316004208198687,-0.0003053575341881148,0.3351,1.01462250074605,5.6699492688749675,5.6699492688749675
4h,2022-09-03T08:00:00+00:00,2022-09-03T12:00:00+00:00,12,5,Saturday,contract,0.005600796536929597,-0.048369374444803936,-0.0002846766566868917,0.3287,0.6693033160936963,1.1256464861575848,1.642835412230002
4h,2022-09-03T12:00:00+00:00,2022-09-03T16:00:00+00:00,16,5,Saturday,contract,0.005357882498577481,-0.04337133776426805,-0.00024291403835211608,0.3292,1.123936816524903,1.4884568651275867,1.6403402187120342
4h,2022-09-03T20:00:00+00:00,2022-09-04T00:00:00+00:00,0,6,Sunday,contract,0.005008072154385685,-0.04416296016367194,-0.00023139016572197493,0.3294,0.6375227686703069,1.6393442622950865,1.6393442622950865
4h,2022-09-06T00:00:00+00:00,2022-09-06T04:00:00+00:00,4,1,Tuesday,expand,0.004958899598700453,0.13446819083227846,0.0005877769539461191,0.334,1.6467065868263489,4.850299401197603,7.664670658682637
4h,2022-09-06T16:00:00+00:00,2022-09-06T20:00:00+00:00,20,1,Tuesday,expand,0.005691368998294552,0.11630549190197059,0.0005929716155158018,0.3231,2.4760136180749015,4.023522129371715,6.901887960383777
4h,2022-09-11T08:00:00+00:00,2022-09-11T12:00:00+00:00,12,6,Sunday,contract,0.006256474274243464,-0.04750490547760633,-0.00031203648263410967,0.3546,0.7332205301748423,3.6379018612521214,3.6379018612521214
4h,2022-09-13T12:00:00+00:00,2022-09-13T16:00:00+00:00,16,1,Tuesday,expand,0.007223173916740035,0.151817379763588,0.0009520635448661526,0.339,2.2713864306784615,3.1268436578171084,3.1268436578171084
4h,2022-09-17T12:00:00+00:00,2022-09-17T16:00:00+00:00,16,5,Saturday,expand,0.009373699956540072,0.17928943609369608,0.0014251000033430692,0.3708,2.9395900755124114,7.038834951456299,8.171521035598703
4h,2022-09-18T04:00:00+00:00,2022-09-18T08:00:00+00:00,8,6,Sunday,expand,0.010586967525477428,0.11245803846504199,0.0010702332672709643,0.3867,5.120248254460833,10.964572019653476,15.076286527023525
4h,2022-09-18T20:00:00+00:00,2022-09-19T00:00:00+00:00,0,0,Monday,expand,0.014250603381277621,0.17917175744333225,0.0021653382014401833,0.3576,7.24272930648769,7.24272930648769,14.904921700223719
4h,2022-09-19T16:00:00+00:00,2022-09-19T20:00:00+00:00,20,0,Monday,expand,0.016297321021830024,0.11530001781789556,0.001684821459859225,0.3899,4.154911515773287,5.847653244421657,13.849705052577582
4h,2022-09-20T12:00:00+00:00,2022-09-20T16:00:00+00:00,16,1,Tuesday,expand,0.017891535919107988,0.1509710866555356,0.002346804929299385,0.4195,5.458879618593558,8.295589988081048,8.295589988081048
4h,2022-09-21T16:00:00+00:00,2022-09-21T20:00:00+00:00,20,2,Wednesday,expand,0.02055971187786584,0.16798184632130342,0.002956945240164169,0.4071,6.7550970277573,12.724146401375572,28.617047408499136
4h,2022-09-22T16:00:00+00:00,2022-09-22T20:00:00+00:00,20,3,Thursday,expand,0.024038476690926205,0.18219628115656672,0.003704732562236447,0.4831,3.9536327882426012,17.30490581660111,21.27923825294969
4h,2022-09-23T00:00:00+00:00,2022-09-23T04:00:00+00:00,4,4,Friday,expand,0.027086747759012902,0.14358939493247247,0.003401019403152853,0.5382,8.008175399479732,19.100706057227786,19.100706057227786
4h,2022-09-25T04:00:00+00:00,2022-09-25T08:00:00+00:00,8,6,Sunday,contract,0.027177057894951888,-0.042747124583838,-0.001213619838073221,0.4909,4.176003259319632,7.720513342839691,12.079853330617238
4h,2022-09-26T20:00:00+00:00,2022-09-27T00:00:00+00:00,0,1,Tuesday,contract,0.023421225260077613,-0.0464182818138672,-0.0011400942507752004,0.4679,3.6973712331694766,4.9583244282966445,11.348578756144471
4h,2022-09-27T20:00:00+00:00,2022-09-28T00:00:00+00:00,0,2,Wednesday,contract,0.021510509781262732,-0.043477455994283876,-0.0009777315216355983,0.4454,7.251908396946563,7.476425684777727,8.711270767849125
4h,2022-09-29T08:00:00+00:00,2022-09-29T12:00:00+00:00,12,3,Thursday,contract,0.018127141134700164,-0.048174902239273454,-0.0009174723949769391,0.4401,3.271983640081805,18.950238582140415,18.950238582140415
4h,2022-09-29T20:00:00+00:00,2022-09-30T00:00:00+00:00,0,4,Friday,expand,0.02111272925398552,0.21242005067701553,0.0036990208266164983,0.4874,3.2416906032006523,6.524415264669675,6.934755847353302
4h,2022-10-01T04:00:00+00:00,2022-10-01T08:00:00+00:00,8,5,Saturday,contract,0.01921245873490975,-0.04843313349948164,-0.0009778814411469001,0.4756,1.9133725820016811,3.952901597981493,3.952901597981493
4h,2022-10-01T20:00:00+00:00,2022-10-02T00:00:00+00:00,0,6,Sunday,contract,0.017124175706157783,-0.04636843351105946,-0.0008326289004736767,0.4751,0.9682172174279083,6.482845716691221,7.661544937907807
4h,2022-10-02T00:00:00+00:00,2022-10-02T04:00:00+00:00,4,6,Sunday,contract,0.016229591727146515,-0.052240995091493936,-0.0008945839790112688,0.474,1.097046413502106,6.4978902953586495,7.6793248945147665
4h,2022-10-02T04:00:00+00:00,2022-10-02T08:00:00+00:00,8,6,Sunday,contract,0.015441763746636047,-0.048542686332195495,-0.0007878279805104676,0.4755,6.225026288117775,7.402733964248162,8.475289169295479
4h,2022-10-02T16:00:00+00:00,2022-10-02T20:00:00+00:00,20,6,Sunday,contract,0.015403409238833602,-0.045763703371342945,-0.000738723787602584,0.4614,4.334633723450373,5.439965322930215,5.439965322930215
