symbol,rsi_l,rsi_h,sl_n,tp_r,mfe1,lock1,mfe2,lock2,n_trades,baseline_total_r,managed_total_r,delta_m_minus_b,win_pct,max_dd_r,avg_hold_h
LINKUSDT,30,70,2,0.7,1.0,0.8,6.5,5.5,102,-39.53246473919542,-39.53246473919542,0.0,42.15686274509804,39.84760236159382,32.01143790849674
SOLUSDT,30,70,2,21.0,1.0,0.8,6.5,5.5,131,38.345404730184896,38.345404730184896,0.0,6.106870229007633,34.90241908291451,59.15458015267176
SOLUSDT,30,70,2,8.0,1.0,0.8,6.5,5.5,131,-2.6545952698151076,-2.6545952698151076,0.0,11.450381679389313,34.52862664601752,25.31615776081425
SOLUSDT,30,70,2,13.0,1.0,0.8,6.5,5.5,131,-11.654595269815102,-11.654595269815102,0.0,6.870229007633588,31.83253953098553,31.56297709923664
SOLUSDT,30,70,2,0.7,1.0,0.8,6.5,5.5,131,-13.554595269815175,-13.554595269815175,0.0,55.72519083969466,15.575609925109918,10.353689567430026
SOLUSDT,30,70,2,5.0,1.0,0.8,6.5,5.5,131,-17.654595269815108,-17.654595269815108,0.0,15.267175572519085,20.96759382752341,20.41094147582697
SOLUSDT,30,70,2,1.0,1.0,0.8,6.5,5.5,131,-19.654595269815104,-19.654595269815104,0.0,45.038167938931295,24.170525203346322,11.21437659033079
SOLUSDT,30,70,2,2.0,1.0,0.8,6.5,5.5,131,-23.654595269815104,-23.654595269815104,0.0,29.00763358778626,25.428535344485958,14.64567430025445
XRPUSDT,30,70,2,21.0,1.0,0.8,6.5,5.5,109,39.95951200274473,39.95951200274473,0.0,6.422018348623854,33.22430295725456,256.93119266055055
XRPUSDT,30,70,2,13.0,1.0,0.8,6.5,5.5,109,11.959512002744727,11.959512002744727,0.0,8.256880733944955,32.11867277789988,141.07951070336392
XRPUSDT,30,70,2,8.0,1.0,0.8,6.5,5.5,109,2.959512002744731,2.959512002744731,0.0,11.926605504587156,25.80961968580744,96.29510703363914
XRPUSDT,30,70,2,5.0,1.0,0.8,6.5,5.5,109,-0.04048799725526386,-0.04048799725526386,0.0,17.431192660550458,26.11867277789988,73.18425076452598
XRPUSDT,30,70,2,0.7,1.0,0.8,6.5,5.5,109,-3.540487997255252,-3.540487997255252,0.0,59.63302752293578,10.712204454782235,21.26146788990826
XRPUSDT,30,70,2,1.0,1.0,0.8,6.5,5.5,109,-6.040487997255268,-6.040487997255268,0.0,49.54128440366973,12.963965894126385,23.81269113149847
XRPUSDT,30,70,2,2.0,1.0,0.8,6.5,5.5,109,-12.040487997255266,-12.040487997255266,0.0,31.19266055045872,20.931755945442447,41.87461773700306
