source,session_day,event_type,anchor_ms,hit_ms,minutes_to_hit,level,hit_close,bars_post,end_ret_pct,max_up_pct,max_down_pct,time_to_peak_min,time_to_trough_min,realized_vol_pct,trend_slope_pct_per_bar,max_drawdown_pct,hit_candle_range,hit_candle_range_pct_of_level,hit_volume_zscore_24bars,pre_return_1h_pct,pre_return_2h_pct,pre_range_mean_pct,pre_realized_vol_pct,pre_trend_slope_pct,dist_level_from_hit_pct,post_vol_mean,post_vol_peak,pre_vol_mean,vol_rel_post_vs_pre,vol_rel_peak_vs_pre,vol_early_rel_pre,vol_mid_rel_pre,vol_late_rel_pre,continuation_pct,rejection_pct,label_direction,label_breakout,label_return_bucket,event_id,cluster_id
daily,2025-09-22,daily_low,1758574800000,1758574800000,0.0,2.8752,2.8371,181,0.7366677240844574,1.6143244862711867,1.388742025307536,620,365,2.072342949561617,0.0054189888490768934,2.224006703442493,0.006600000000000161,0.2295,0.0,0.21884155165720257,0.24714896020902152,0.27096330760283377,0.8635672863491108,0.009629598927895465,1.3429205879242896,1475309.6779005525,8058900.4,2814462.5125000007,0.5241887825288816,2.863388787097941,0.36067461744172,0.7935591651148937,0.4200679128578809,2.7701326089287677,0.2678074568725591,up,continuation,neutral,150,0
daily,2025-09-24,daily_high,1758747600000,1758747600000,0.0,2.8959,2.9623,181,-4.820578604462742,0.42196941565675916,5.276305573372038,10,855,2.238160241038747,-0.02850826157824249,5.458522631667504,0.007299999999999862,0.2521,0.0,-0.2822675493128266,0.5898105148977953,0.31267933700165246,1.1783007558093952,0.021246263035239053,-2.241501535968666,2314685.946961326,12890428.0,3145301.029166667,0.7359187325782269,4.098312969240741,0.7188469706715818,0.8954982222309729,0.5957471970902586,2.72454159328706,3.2038488952245223,down,rejection,strong_down,151,0
daily,2025-09-25,daily_low,1758834000000,1758834000000,0.0,2.7871,2.7485,181,-0.9277787884300556,1.0623976714571546,1.884664362379482,305,845,2.604628959011939,-0.004784118986039264,2.7354308573899986,0.007600000000000051,0.2727,0.0,-0.4747064791998721,-1.875669882100742,0.3511006003274551,1.023206652249068,-0.09855900177699797,1.4044024013098122,1892190.359116022,7998254.4,3992046.608333333,0.47399004690128244,2.0035473491977207,0.47072707002233094,0.3424231405047077,0.6066096042214723,3.3522453368932497,-0.3372681281618993,down,continuation,neutral,152,0
daily,2025-09-29,daily_high,1759179600000,1759179600000,0.0,2.8838,2.9017,181,-1.9953820174380559,0.19299031602165184,2.3641313712651204,0,855,1.4103951614274892,-0.008588773755392617,2.400551059066647,0.007200000000000095,0.2497,0.0,0.28657252356453927,1.029565217391299,0.22917600027569757,0.5687505507108276,0.055746092644898014,-0.6168797601406082,1234571.4314917126,6581281.3,1738861.0666666667,0.709988540866201,3.7848229661131447,0.7852477316953363,0.49678833934825395,0.8456682235109341,0.8148970108884215,1.789559140164483,down,rejection,strong_down,153,0
daily,2025-09-30,daily_high,1759266000000,1759310700000,745.0,2.9278,2.9274,32,0.23228803716609073,0.8130081300813022,0.30402404864385224,20,45,0.9232849841350995,0.0067812870087593175,0.9599728629579298,0.006200000000000205,0.2118,0.2793,2.3571378610897438,3.0853761622992435,0.30687071576597963,0.8523273827810808,0.1369429089718842,0.013664002186238844,2784631.50625,7740433.3,3841153.429166667,0.724946700932517,2.0151325487873772,1.3495024777296087,0.5069200582342874,0.3861724225167986,0.7992349204180644,0.3186568442693194,up,continuation,neutral,154,3
daily,2025-09-30,daily_low,1759266000000,1759272900000,115.0,2.8428,2.8406,158,3.2950785045413067,3.893543617545598,0.9857072449482357,650,295,1.8925490431987018,0.024561799376113375,1.484074203710193,0.006600000000000161,0.2322,0.2599,-0.5315986430245201,-0.9714484679665674,0.20462226290220115,0.7213710683007181,-0.03956974527260438,0.0774484263887982,1908209.2930379752,15961404.4,1386410.8958333333,1.3763663418780356,11.512751701512013,0.737631600801035,1.0295149792208287,2.32544925658505,1.0737396003697568,3.8131419727029705,up,rejection,strong_up,155,0
daily,2025-10-02,daily_high,1759438800000,1759438800000,0.0,2.9863,3.0564,181,-0.7557911268158585,0.2879204292631828,1.7406098678183455,5,300,1.767673316151284,0.001169024703374509,1.8484046895921096,0.005399999999999849,0.1808,0.0,-1.0292927658197135,-0.09801679354396423,0.3207749858221008,1.1572040115275322,-0.0267698373471045,-2.2935479649260584,1665138.2679558012,8067769.9,3518768.8624999993,0.4732161540081269,2.2927819971295436,0.5852334458829964,0.3681234367142712,0.46640509704319505,2.6420654321401056,-0.5627330847096477,down,continuation,neutral,156,0
daily,2025-10-07,daily_low,1759870800000,1759870800000,0.0,2.961,2.8708,181,0.16720078027030497,0.3204681621847525,1.4769402257210609,850,430,1.5743259529119904,-6.336759446947474e-05,1.320040295966923,0.007600000000000051,0.2567,0.0,0.5217634905627312,0.4092483122879366,0.29114996981097035,0.8644664930676995,0.01966122569078913,3.1419813292461978,1203020.51160221,9900647.9,2828520.875,0.42531788336269927,3.5002916144290435,0.40270768492501696,0.5124849549973124,0.36181931956243946,4.688162918964788,-2.7355623100303936,flat,continuation,neutral,157,0
daily,2025-10-09,daily_low,1760043600000,1760043600000,0.0,2.823,2.796,181,0.8011444921316236,1.2088698140200385,0.38984263233189953,750,5,1.6328950528221409,0.0032173858437107516,1.0112081462362537,0.005300000000000082,0.1877,0.0,0.20804935791664575,0.3664582884242369,0.2186158798283243,0.5944183382247782,0.00014511478111101607,0.9656652360515071,1067374.5303867403,4136952.2,2068829.9041666668,0.5159315070983002,1.9996579668865437,0.4619887767194942,0.5832822743118339,0.502743274146109,1.3608128972029745,0.24087849805172296,up,continuation,neutral,158,0
daily,2025-10-13,daily_high,1760389200000,1760389200000,0.0,2.5822,2.6335,181,-7.2299221568255305,0.43668122270741755,8.4602240364534,0,810,3.388615067201717,-0.04736065429405702,8.398741136768674,0.013900000000000023,0.5383,0.0,0.7431968900068545,1.2913856529736383,0.3033035883804815,0.5518966967194927,0.033908150239086235,-1.9479779760774765,5407349.102209944,41028335.6,2086698.445833333,2.5913418937016046,19.661842218708866,1.1066175451836722,3.6880703671871204,2.972977180618737,2.4320346990938035,7.114116231799892,down,rejection,strong_down,159,0
daily,2025-10-14,daily_low,1760475600000,1760475600000,0.0,2.5318,2.488,181,0.0,2.371382636655955,0.546623794212212,690,20,2.3018536132001963,0.0014853642209702602,2.2330747115119434,0.0038999999999997925,0.154,0.0,0.28603658045281943,-0.4598528470889253,0.43190648445873486,1.3900575545485838,-0.02883003920927133,1.7604501607717067,1577666.5276243093,10812010.9,3946086.191666667,0.39980538969372253,2.73993277765518,0.2862727928714802,0.3693812529348303,0.5414021768227074,2.319754283866792,0.6003633778339562,flat,continuation,neutral,160,0
