date,balance,daily_pnl
2022-10-04,29869.42,-580.28
2022-10-07,29411.73,-457.69
2022-10-10,28432.38,-979.35
2022-10-11,30499.29,2066.91
2022-10-12,29007.68,-1491.61
2022-10-13,39191.52,10183.84
2022-10-17,38641.91,-549.61
2022-10-18,38092.56,-549.35
2022-10-19,37549.66,-542.9
2022-10-21,37024.67,-524.99
2022-10-24,35899.5,-1125.17
2022-10-25,34575.5,-1324.0
2022-10-26,34089.82,-485.68
2022-10-27,33268.11,-821.71
2022-10-28,32501.74,-766.37
2022-10-29,34054.29,1552.55
2022-10-31,33407.75,-646.54
2022-11-02,36195.49,2787.74
2022-11-03,35044.61,-1150.88
2022-11-04,43687.79,8643.18
2022-11-05,42438.02,-1249.77
2022-11-06,41649.44,-788.58
2022-11-07,39507.09,-2142.35
2022-11-08,34922.09,-4585.0
2022-11-10,33774.43,-1147.66
2022-11-14,33303.34,-471.09
2022-11-20,31202.55,-2100.79
2022-11-21,31038.26,-164.29
2022-11-25,30297.03,-741.23
2022-11-28,29484.22,-812.81
2022-11-29,29063.69,-420.53
2022-11-30,28652.0,-411.69
2022-12-03,28505.37,-146.63
2022-12-06,28583.68,78.31
2022-12-07,27867.02,-716.66
2022-12-09,27723.83,-143.19
2022-12-12,29977.45,2253.62
2022-12-13,28829.85,-1147.6
2022-12-14,26618.96,-2210.89
2022-12-15,27835.14,1216.18
2022-12-16,31212.46,3377.32
2022-12-17,30702.37,-510.09
2022-12-22,30272.89,-429.48
2022-12-24,30112.96,-159.93
2022-12-25,29953.34,-159.62
2022-12-27,30864.14,910.8
2022-12-28,32133.09,1268.95
2022-12-29,31686.09,-447.0
2022-12-30,33595.85,1909.76
2023-01-02,33131.98,-463.87
2023-01-03,32651.53,-480.45
2023-01-04,31083.33,-1568.2
2023-01-05,30926.43,-156.9
2023-01-06,30418.57,-507.86
2023-01-08,29141.92,-1276.65
2023-01-09,28728.9,-413.02
2023-01-10,28727.99,-0.91
2023-01-11,28182.14,-545.85
2023-01-12,39644.55,11462.41
2023-01-13,39089.11,-555.44
2023-01-14,42726.68,3637.57
2023-01-18,42296.69,-429.99
2023-01-19,41705.21,-591.48
2023-01-21,41493.58,-211.63
2023-01-22,40703.65,-789.93
2023-01-24,42379.65,1676.0
2023-01-25,43347.08,967.43
2023-01-27,42943.9,-403.18
2023-01-29,42343.89,-600.01
2023-01-30,43358.93,1015.04
2023-01-31,42739.3,-619.63
2023-02-01,40880.21,-1859.09
2023-02-02,39839.79,-1040.42
2023-02-03,38171.74,-1668.05
2023-02-04,37421.87,-749.87
2023-02-05,37439.97,18.1
2023-02-07,37242.14,-197.83
2023-02-09,41268.56,4026.42
2023-02-10,40592.16,-676.4
2023-02-13,41223.21,631.05
2023-02-14,39887.05,-1336.16
2023-02-15,39328.23,-558.82
2023-02-16,39116.86,-211.37
2023-02-17,36322.18,-2794.68
2023-02-19,35452.48,-869.7
2023-02-20,34781.58,-670.9
2023-02-21,35641.08,859.5
2023-02-22,36550.43,909.35
2023-02-23,36366.56,-183.87
2023-02-24,37289.1,922.54
2023-02-25,36767.79,-521.31
2023-02-28,34020.26,-2747.53
2023-03-01,32563.99,-1456.27
2023-03-03,32766.08,202.09
2023-03-06,32591.54,-174.54
2023-03-07,32133.07,-458.47
2023-03-08,29680.86,-2452.21
2023-03-09,30797.2,1116.34
2023-03-10,33547.36,2750.16
2023-03-11,32295.53,-1251.83
2023-03-12,32130.99,-164.54
2023-03-13,31968.03,-162.96
2023-03-14,31804.91,-163.12
2023-03-15,34423.81,2618.9
2023-03-17,33983.3,-440.51
2023-03-18,33812.78,-170.52
2023-03-20,32870.58,-942.2
2023-03-21,31332.71,-1537.87
2023-03-22,30731.95,-600.76
2023-03-23,29124.15,-1607.8
2023-03-27,29282.47,158.32
2023-03-28,38622.44,9339.97
2023-03-29,38214.08,-408.36
2023-03-30,38020.94,-193.14
2023-04-02,37446.64,-574.3
2023-04-03,33991.56,-3455.08
2023-04-05,33515.01,-476.55
2023-04-06,33345.51,-169.5
2023-04-10,32877.42,-468.09
2023-04-11,32538.87,-338.55
2023-04-12,31479.78,-1059.09
2023-04-13,31034.93,-444.85
2023-04-14,28321.63,-2713.3
2023-04-15,27895.7,-425.93
2023-04-17,26741.8,-1153.9
2023-04-18,25684.69,-1057.11
2023-04-19,26739.06,1054.37
2023-04-24,27635.78,896.72
2023-04-25,26119.51,-1516.27
2023-04-26,24405.95,-1713.56
2023-04-27,23923.79,-482.16
2023-04-30,23256.83,-666.96
2023-05-01,24208.98,952.15
2023-05-02,23952.06,-256.92
2023-05-03,22558.97,-1393.09
2023-05-05,21800.18,-758.79
2023-05-06,22581.26,781.08
2023-05-07,22274.94,-306.32
2023-05-08,23798.68,1523.74
2023-05-09,23672.26,-126.42
2023-05-10,26751.71,3079.45
2023-05-11,26313.55,-438.16
2023-05-12,26187.0,-126.55
2023-05-15,25816.44,-370.56
2023-05-16,25023.67,-792.77
2023-05-17,24546.4,-477.27
2023-05-18,25646.61,1100.21
2023-05-22,25137.74,-508.87
2023-05-23,24647.64,-490.1
2023-05-24,26675.12,2027.48
2023-05-28,25511.22,-1163.9
2023-05-30,24119.02,-1392.2
2023-06-01,23434.42,-684.6
