ts,open,high,low,close,bb_upper,bb_lower,bb_mid,bb_width,atr,atr_ma,atr_ratio,er,structure,vol,regime,structure_num,vol_num
2024-06-01 08:00:00+00:00,0.5193,0.5218,0.5187,0.5206,0.5296564844342192,0.5140935155657808,0.521875,2.9821257711977855,0.006151055840175464,0.008506463902693929,0.7231037374093217,0.1303030303030312,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2024-06-01 12:00:00+00:00,0.5206,0.5224,0.5201,0.5205,0.5291134194888429,0.514056580511157,0.521585,2.886746930545539,0.0058759804230200715,0.008366145052501505,0.7023522047664156,0.09177215189873472,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2024-06-01 16:00:00+00:00,0.5206,0.5213,0.5186,0.52,0.5276626214274467,0.5145373785725533,0.5211,2.518757024542959,0.005649124678518641,0.008219706120179972,0.6872660160744228,0.16086235489220474,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2024-06-01 20:00:00+00:00,0.52,0.5211,0.5182,0.5189,0.5263237279282288,0.5149262720717714,0.5206250000000001,2.1891871993195386,0.005452758630053025,0.008072441397309974,0.6754782551744605,0.15806988352745363,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2024-06-02 00:00:00+00:00,0.5189,0.5202,0.5183,0.5195,0.5259851708606813,0.5148648291393187,0.520425,2.136780846685413,0.0051989901564778096,0.007932267011787836,0.6554229892604209,0.07168458781362033,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2024-06-02 04:00:00+00:00,0.5195,0.5199,0.5166,0.5168,0.5256039316945517,0.5145360683054484,0.52007,2.128148785567954,0.005063348002443686,0.0077993907966601335,0.6491978840978093,0.12220309810671309,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2024-06-02 08:00:00+00:00,0.5168,0.5182,0.5129,0.5177,0.5238548341062204,0.5152651658937797,0.51956,1.6532581823929229,0.005080251716554849,0.007679577168327269,0.6615275301233032,0.18545454545454618,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2024-06-02 12:00:00+00:00,0.5176,0.5216,0.5167,0.518,0.523717253069413,0.515592746930587,0.519655,1.5634423105379498,0.0050673765939437815,0.00757003594201818,0.6693992779897969,0.043678160919540875,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2024-06-02 16:00:00+00:00,0.5181,0.5184,0.5082,0.5127,0.5242643525478837,0.5142256474521162,0.519245,1.9333272531786616,0.005433992551519225,0.007471604803302596,0.7272858635560185,0.18636363636363773,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2024-06-02 20:00:00+00:00,0.5127,0.5153,0.5104,0.5137,0.523490340071058,0.513859659928942,0.518675,1.856785104760397,0.005395850226410709,0.0073717758887809825,0.7319606981843533,0.27941176470588414,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2024-06-03 00:00:00+00:00,0.5138,0.5197,0.5118,0.517,0.5229527357003163,0.5138572642996837,0.518405,1.7545107397946786,0.005574718067381375,0.0072857918967252,0.7651492310516151,0.13043478260869612,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2024-06-03 04:00:00+00:00,0.517,0.5225,0.5154,0.5213,0.5232353366793828,0.5138046633206171,0.51852,1.8187675227118887,0.0056836667768541335,0.007210235332673401,0.7882775685695618,0.05437352245862867,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2024-06-03 08:00:00+00:00,0.5213,0.5234,0.5191,0.5193,0.5228415794057697,0.5139284205942303,0.518385,1.7194090900661523,0.005584833435650265,0.007141075666053872,0.7820717349626433,0.06537530266343981,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2024-06-03 12:00:00+00:00,0.5193,0.5235,0.5167,0.5222,0.5233430592999594,0.5139669407000406,0.518655,1.8077756119036403,0.005671631047389526,0.007082998832764312,0.8007386675194517,0.1384615384615389,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2024-06-03 16:00:00+00:00,0.5222,0.5225,0.5178,0.5222,0.5234196285418289,0.5139303714581713,0.5186750000000001,1.8295188863271898,0.00560222882971884,0.007027070344709718,0.7972353420279107,0.01176470588235179,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2024-06-03 20:00:00+00:00,0.5222,0.523,0.5198,0.5203,0.5235774470169682,0.5140225529830317,0.5187999999999999,1.8417297675282385,0.005430641056167493,0.0069694224629447375,0.779209623902312,0.07836990595611218,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
2024-06-04 00:00:00+00:00,0.5202,0.5225,0.5185,0.5218,0.5239144545153928,0.5140155454846073,0.518965,1.9074328771276474,0.005328452409298387,0.006917749429877258,0.7702580822435093,0.10091743119266386,BALANCED,NORMAL,BALANCED_NORMAL,0.0,1.0
