exit_ts_utc,symbol,tp_r,r,equity_before,risk_usd,pnl_usd,withdrawal_usd,cumulative_withdrawn_usd,return_pct_trade,equity_after,equity_peak,drawdown_usd,drawdown_pct,day,week_start,month
2025-07-17 18:35:00+00:00,SOLUSDT,8.0,0.6739694581280746,2335037.119127726,5000.0,3369.847290640373,0.0,962143.6488037287,0.0014431664760426633,2338406.9664183664,2399003.5633510747,60596.596932708286,-0.025259069164559,2025-07-17,2025-07-15,2025-07
2025-07-18 08:00:00+00:00,SOLUSDT,8.0,-1.1291642857142896,2338406.9664183664,5000.0,-5645.821428571448,0.0,962143.6488037287,-0.002414387875870427,2332761.144989795,2399003.5633510747,66242.41836127965,-0.027612471850082754,2025-07-18,2025-07-15,2025-07
2025-07-19 08:05:00+00:00,LINKUSDT,8.0,5.360038461538467,2332761.144989795,5000.0,26800.192307692338,0.0,962143.6488037287,0.011488613982298465,2359561.3372974875,2399003.5633510747,39442.22605358716,-0.01644108689796686,2025-07-19,2025-07-15,2025-07
2025-07-20 04:00:00+00:00,LINKUSDT,8.0,-1.0351420382165606,2359561.3372974875,5000.0,-5175.710191082803,0.0,962143.6488037287,-0.0021935052542481387,2354385.627106405,2399003.5633510747,44617.936244669836,-0.01859852854171873,2025-07-20,2025-07-15,2025-07
2025-07-20 16:00:00+00:00,SOLUSDT,8.0,-1.0470686956521738,2354385.627106405,5000.0,-5235.343478260868,0.0,962143.6488037287,-0.002223655894763182,2349150.283628144,2399003.5633510747,49853.27972293086,-0.020780827708856253,2025-07-20,2025-07-15,2025-07
2025-07-20 16:40:00+00:00,XRPUSDT,8.0,-1.028453658536585,2349150.283628144,5000.0,-5142.268292682926,0.0,962143.6488037287,-0.002188990771906237,2344008.015335461,2399003.5633510747,54995.548015613575,-0.02292432944067513,2025-07-20,2025-07-15,2025-07
2025-07-21 13:40:00+00:00,XRPUSDT,8.0,0.626662328767128,2344008.015335461,5000.0,3133.31164383564,0.0,962143.6488037287,0.0013367324784455646,2347141.3269792967,2399003.5633510747,51862.23637177795,-0.02161824065793949,2025-07-21,2025-07-15,2025-07
2025-07-21 22:40:00+00:00,XRPUSDT,8.0,0.6767815450643768,2347141.3269792967,5000.0,3383.9077253218843,0.0,962143.6488037287,0.0014417145173260086,2350525.234704619,2399003.5633510747,48478.32864645589,-0.020207693472009014,2025-07-21,2025-07-15,2025-07
2025-07-24 00:05:00+00:00,XRPUSDT,8.0,-1.0389938775510208,2350525.234704619,5000.0,-5194.9693877551035,0.0,962143.6488037287,-0.0022101312979130533,2345330.2653168635,2399003.5633510747,53673.298034211155,-0.022373163114121075,2025-07-24,2025-07-22,2025-07
2025-07-24 13:40:00+00:00,XRPUSDT,8.0,0.6923712158808926,2345330.2653168635,5000.0,3461.856079404463,0.0,962143.6488037287,0.0014760633632708237,2348792.121396268,2399003.5633510747,50211.44195480691,-0.020930123957243474,2025-07-24,2025-07-22,2025-07
