exit_ts,symbol,pnl_r,reason,pnl_usd,equity
2024-11-23 04:00:00+00:00,DOGEUSDT,-1.0153155747836835,SL,-380.41,14606.63
2024-11-24 08:00:00+00:00,DOGEUSDT,0.9960626001780943,BE,363.73,14970.35
2024-12-09 00:00:00+00:00,DOGEUSDT,0.9929737160120846,BE,371.63,15341.98
2024-12-19 04:00:00+00:00,DOGEUSDT,0.9886799789251844,BE,379.21,15721.19
2024-12-19 20:00:00+00:00,DOGEUSDT,-1.0090254063301967,SL,-396.58,15324.61
2025-01-02 16:00:00+00:00,DOGEUSDT,2.96281847826087,BE,1135.1,16459.72
2025-01-03 16:00:00+00:00,DOGEUSDT,-1.1175089887640446,SL,-459.85,15999.87
2025-01-06 08:00:00+00:00,XRPUSDT,2.9761963815789474,BE,1190.47,17190.34
2025-01-06 20:00:00+00:00,XRPUSDT,2.951913157894737,BE,1268.61,18458.95
2025-01-08 08:00:00+00:00,SOLUSDT,-1.029793,SL,-475.22,17983.72
2025-01-08 16:00:00+00:00,LINKUSDT,-1.02974019138756,SL,-462.96,17520.76
2025-01-09 00:00:00+00:00,SOLUSDT,0.9901934343434343,BE,433.72,17954.48
2025-01-09 12:00:00+00:00,BTCUSDT,-1.041319955654102,SL,-467.41,17487.08
2025-01-10 00:00:00+00:00,BTCUSDT,7.752181115107907,TP,3389.07,20876.15
2025-01-10 00:00:00+00:00,DOGEUSDT,7.922140163934426,TP,4134.59,25010.74
2025-01-10 00:00:00+00:00,LINKUSDT,5.9514575,BE,3721.26,28732.0
2025-01-10 00:00:00+00:00,SOLUSDT,-1.0688259259259256,SL,-767.74,27964.27
2025-01-12 00:00:00+00:00,XRPUSDT,-1.2616413793103536,SL,-882.02,27082.24
2025-01-12 20:00:00+00:00,XRPUSDT,0.9877991935483871,BE,668.8,27751.04
2025-01-13 12:00:00+00:00,LINKUSDT,-1.0573030000000012,SL,-733.53,27017.51
2025-01-13 16:00:00+00:00,BTCUSDT,6.460550847457374,TP,4363.7,31381.21
2025-01-13 16:00:00+00:00,SOLUSDT,-1.2504714285714191,SL,-981.03,30400.18
2025-01-14 20:00:00+00:00,XRPUSDT,-1.031439024390244,SL,-783.9,29616.28
2025-01-15 08:00:00+00:00,DOGEUSDT,7.888871428571426,TP,5840.98,35457.25
2025-01-15 20:00:00+00:00,BTCUSDT,-1.0369513133325032,SL,-919.19,34538.07
2025-01-15 20:00:00+00:00,DOGEUSDT,-1.0157631728045327,SL,-877.06,33661.0
2025-01-15 20:00:00+00:00,LINKUSDT,-1.0431860000000004,SL,-877.87,32783.14
