exit_ts,symbol,pnl_r,reason,withdrawal_usd,risk_usd_1r,pnl_usd,equity,period
2022-03-30 01:40:00+00:00,DOGEUSDT,0.7188247588424461,BE,0.0,250.0,179.71,19483.98,"(2022, 3)"
2022-03-30 08:00:00+00:00,LINKUSDT,0.5807627118644111,BE,0.0,250.0,145.19,19629.17,"(2022, 3)"
2022-04-03 12:00:00+00:00,LINKUSDT,0.6103487500000091,BE,5000.0,250.0,152.59,14781.76,"(2022, 4)"
2022-04-04 16:00:00+00:00,DOGEUSDT,5.974155,BE,0.0,250.0,1493.54,16275.3,"(2022, 4)"
2022-04-05 12:05:00+00:00,DOGEUSDT,0.6427757281553292,BE,0.0,250.0,160.69,16435.99,"(2022, 4)"
2022-04-05 15:00:00+00:00,SOLUSDT,0.5043963604852731,BE,0.0,250.0,126.1,16562.09,"(2022, 4)"
2022-04-05 20:00:00+00:00,DOGEUSDT,-1.02022,SL,0.0,250.0,-255.05,16307.04,"(2022, 4)"
2022-04-06 22:30:00+00:00,LINKUSDT,-1.0199126582278482,SL,0.0,250.0,-254.98,16052.06,"(2022, 4)"
2022-04-06 23:05:00+00:00,XRPUSDT,-1.0165829787234042,SL,0.0,250.0,-254.15,15797.91,"(2022, 4)"
2022-04-07 00:10:00+00:00,BTCUSDT,-1.020155651105651,SL,0.0,250.0,-255.04,15542.87,"(2022, 4)"
2022-04-07 22:55:00+00:00,BTCUSDT,0.48936854838709914,BE,0.0,250.0,122.34,15665.22,"(2022, 4)"
2022-04-09 00:00:00+00:00,BTCUSDT,-1.0302420953279847,SL,0.0,250.0,-257.56,15407.65,"(2022, 4)"
2022-04-09 03:55:00+00:00,XRPUSDT,0.5103285714285747,BE,0.0,250.0,127.58,15535.24,"(2022, 4)"
2022-04-11 08:00:00+00:00,XRPUSDT,0.8025791666666692,BE,0.0,250.0,200.64,15735.88,"(2022, 4)"
2022-04-11 16:00:00+00:00,BTCUSDT,-1.1013706172839506,SL,0.0,250.0,-275.34,15460.54,"(2022, 4)"
2022-04-11 16:00:00+00:00,LINKUSDT,-1.0616391304347834,SL,0.0,250.0,-265.41,15195.13,"(2022, 4)"
2022-04-11 16:00:00+00:00,XRPUSDT,-1.050557142857143,SL,0.0,250.0,-262.64,14932.49,"(2022, 4)"
2022-04-11 20:00:00+00:00,SOLUSDT,-1.1322086956521715,SL,0.0,250.0,-283.05,14649.44,"(2022, 4)"
2022-04-12 20:00:00+00:00,LINKUSDT,-1.012627927927928,SL,0.0,250.0,-253.16,14396.28,"(2022, 4)"
2022-04-13 16:00:00+00:00,BTCUSDT,2.974853716216216,BE,0.0,250.0,743.71,15139.99,"(2022, 4)"
2022-04-14 20:00:00+00:00,LINKUSDT,2.8693451612903176,BE,0.0,250.0,717.34,15857.33,"(2022, 4)"
2022-04-15 08:00:00+00:00,XRPUSDT,2.9362459459459465,BE,0.0,250.0,734.06,16591.39,"(2022, 4)"
2022-04-16 07:20:00+00:00,XRPUSDT,0.9672833333333333,BE,0.0,250.0,241.82,16833.21,"(2022, 4)"
2022-04-18 12:15:00+00:00,BTCUSDT,0.8823123482245199,BE,0.0,250.0,220.58,17053.79,"(2022, 4)"
2022-04-20 16:00:00+00:00,BTCUSDT,7.868665868886584,TP,0.0,250.0,1967.17,19020.96,"(2022, 4)"
2022-04-20 16:00:00+00:00,SOLUSDT,7.94192105263158,TP,0.0,250.0,1985.48,21006.44,"(2022, 4)"
2022-04-21 16:00:00+00:00,BTCUSDT,1.2243780141843972,BE,0.0,250.0,306.09,21312.53,"(2022, 4)"
2022-04-24 04:00:00+00:00,XRPUSDT,0.9484000000000014,BE,0.0,250.0,237.1,21549.63,"(2022, 4)"
2022-04-25 00:05:00+00:00,XRPUSDT,-1.0273272727272726,SL,0.0,250.0,-256.83,21292.8,"(2022, 4)"
2022-04-25 08:00:00+00:00,DOGEUSDT,-1.0084971365638766,SL,0.0,250.0,-252.12,21040.68,"(2022, 4)"
2022-04-25 12:00:00+00:00,LINKUSDT,5.92879245283019,BE,0.0,250.0,1482.2,22522.87,"(2022, 4)"
2022-04-25 12:05:00+00:00,BTCUSDT,0.9646500306560389,BE,0.0,250.0,241.16,22764.04,"(2022, 4)"
2022-04-26 00:00:00+00:00,DOGEUSDT,0.6473422271223828,BE,0.0,250.0,161.84,22925.87,"(2022, 4)"
2022-04-26 20:00:00+00:00,XRPUSDT,-1.0783240000000016,SL,0.0,250.0,-269.58,22656.29,"(2022, 4)"
2022-04-27 04:00:00+00:00,LINKUSDT,0.6822943965517296,BE,0.0,250.0,170.57,22826.86,"(2022, 4)"
2022-04-28 20:00:00+00:00,XRPUSDT,0.9686032786885246,BE,0.0,250.0,242.15,23069.02,"(2022, 4)"
2022-04-29 16:40:00+00:00,XRPUSDT,-1.0272999999999999,SL,0.0,250.0,-256.82,22812.19,"(2022, 4)"
2022-05-01 00:00:00+00:00,LINKUSDT,-1.0195703910614524,SL,5000.0,250.0,-254.89,17557.3,"(2022, 5)"
2022-05-01 00:00:00+00:00,XRPUSDT,-1.0208329545454544,SL,0.0,250.0,-255.21,17302.09,"(2022, 5)"
2022-05-01 04:10:00+00:00,SOLUSDT,0.9910728873239437,BE,0.0,250.0,247.77,17549.86,"(2022, 5)"
2022-05-02 00:15:00+00:00,LINKUSDT,4.741201111111022,BE,0.0,250.0,1185.3,18735.16,"(2022, 5)"
2022-05-02 16:00:00+00:00,LINKUSDT,7.8910000000000045,TP,0.0,250.0,1972.75,20707.91,"(2022, 5)"
2022-05-05 00:00:00+00:00,BTCUSDT,0.7350736258660441,BE,0.0,250.0,183.77,20891.68,"(2022, 5)"
2022-05-06 13:35:00+00:00,BTCUSDT,-1.0121844733012426,SL,0.0,250.0,-253.05,20638.63,"(2022, 5)"
2022-05-08 04:00:00+00:00,BTCUSDT,-1.0138776705360637,SL,0.0,250.0,-253.47,20385.16,"(2022, 5)"
2022-05-08 04:00:00+00:00,SOLUSDT,-1.0131333333333334,SL,0.0,250.0,-253.28,20131.88,"(2022, 5)"
2022-05-08 08:00:00+00:00,LINKUSDT,0.6841456140350786,BE,0.0,250.0,171.04,20302.91,"(2022, 5)"
2022-05-08 20:25:00+00:00,SOLUSDT,-1.017658778625954,SL,0.0,250.0,-254.41,20048.5,"(2022, 5)"
2022-05-09 08:00:00+00:00,LINKUSDT,-1.0217711111111112,SL,0.0,250.0,-255.44,19793.06,"(2022, 5)"
2022-05-09 12:00:00+00:00,XRPUSDT,-1.1504909090909106,SL,0.0,250.0,-287.62,19505.43,"(2022, 5)"
2022-05-09 16:00:00+00:00,DOGEUSDT,-1.0100671428571428,SL,0.0,250.0,-252.52,19252.92,"(2022, 5)"
2022-05-11 06:45:00+00:00,LINKUSDT,-1.0059841743119267,SL,0.0,250.0,-251.5,19001.42,"(2022, 5)"
2022-05-11 06:45:00+00:00,SOLUSDT,-1.0054040431266846,SL,0.0,250.0,-251.35,18750.07,"(2022, 5)"
2022-05-11 12:00:00+00:00,DOGEUSDT,-1.011317090909091,SL,0.0,250.0,-252.83,18497.24,"(2022, 5)"
2022-05-11 12:45:00+00:00,XRPUSDT,-1.0034314159292035,SL,0.0,250.0,-250.86,18246.38,"(2022, 5)"
2022-05-11 20:15:00+00:00,BTCUSDT,-1.0047131074363396,SL,0.0,250.0,-251.18,17995.2,"(2022, 5)"
2022-05-14 20:00:00+00:00,LINKUSDT,7.9523857142857155,TP,0.0,250.0,1988.1,19983.3,"(2022, 5)"
2022-05-14 20:00:00+00:00,SOLUSDT,7.9623621621621625,TP,0.0,250.0,1990.59,21973.89,"(2022, 5)"
2022-05-26 16:00:00+00:00,DOGEUSDT,1.6666616541353456,BE,0.0,250.0,416.67,22390.56,"(2022, 5)"
2022-05-26 16:00:00+00:00,SOLUSDT,2.9788596774193548,BE,0.0,250.0,744.71,23135.27,"(2022, 5)"
2022-05-27 12:20:00+00:00,DOGEUSDT,0.5578353333333326,BE,0.0,250.0,139.46,23274.73,"(2022, 5)"
2022-05-30 08:00:00+00:00,BTCUSDT,-1.0889031249999988,SL,0.0,250.0,-272.23,23002.51,"(2022, 5)"
2022-05-30 12:05:00+00:00,LINKUSDT,2.922214285714287,BE,0.0,250.0,730.55,23733.06,"(2022, 5)"
2022-05-31 04:00:00+00:00,DOGEUSDT,1.2611181818181905,BE,0.0,250.0,315.28,24048.34,"(2022, 5)"
2022-05-31 04:00:00+00:00,LINKUSDT,-1.03493125,SL,0.0,250.0,-258.73,23789.61,"(2022, 5)"
2022-05-31 04:00:00+00:00,XRPUSDT,1.3049111111112002,BE,0.0,250.0,326.23,24115.83,"(2022, 5)"
2022-06-01 04:00:00+00:00,LINKUSDT,0.8194542857142875,BE,5000.0,250.0,204.86,19320.7,"(2022, 6)"
2022-06-01 04:00:00+00:00,XRPUSDT,0.9706139534883719,BE,0.0,250.0,242.65,19563.35,"(2022, 6)"
2022-06-02 04:00:00+00:00,SOLUSDT,-1.0200449999999999,SL,0.0,250.0,-255.01,19308.34,"(2022, 6)"
2022-06-03 16:05:00+00:00,SOLUSDT,-1.035840625,SL,0.0,250.0,-258.96,19049.38,"(2022, 6)"
2022-06-05 20:00:00+00:00,LINKUSDT,-1.2519999999999905,SL,0.0,250.0,-313.0,18736.38,"(2022, 6)"
2022-06-06 08:00:00+00:00,BTCUSDT,-1.1643947368421053,SL,0.0,250.0,-291.1,18445.28,"(2022, 6)"
2022-06-08 00:00:00+00:00,LINKUSDT,-1.0231192660550459,SL,0.0,250.0,-255.78,18189.5,"(2022, 6)"
2022-06-11 00:10:00+00:00,DOGEUSDT,0.5027955056179745,BE,0.0,250.0,125.7,18315.2,"(2022, 6)"
2022-06-11 16:00:00+00:00,DOGEUSDT,-1.0493431818181806,SL,0.0,250.0,-262.34,18052.86,"(2022, 6)"
2022-06-11 20:00:00+00:00,SOLUSDT,0.7211114754098298,BE,0.0,250.0,180.28,18233.14,"(2022, 6)"
2022-06-11 20:00:00+00:00,XRPUSDT,1.619451351351373,BE,0.0,250.0,404.86,18638.0,"(2022, 6)"
2022-06-12 04:00:00+00:00,XRPUSDT,-1.0239733333333336,SL,0.0,250.0,-255.99,18382.01,"(2022, 6)"
2022-06-12 08:00:00+00:00,LINKUSDT,1.267733802816909,BE,0.0,250.0,316.93,18698.94,"(2022, 6)"
2022-06-12 08:30:00+00:00,BTCUSDT,0.5166673712921911,BE,0.0,250.0,129.17,18828.11,"(2022, 6)"
2022-06-13 00:00:00+00:00,BTCUSDT,-1.0146839285714286,SL,0.0,250.0,-253.67,18574.44,"(2022, 6)"
2022-06-13 04:00:00+00:00,LINKUSDT,-1.1707545454545436,SL,0.0,250.0,-292.69,18281.75,"(2022, 6)"
2022-06-13 04:00:00+00:00,SOLUSDT,-1.3056000000000245,SL,0.0,250.0,-326.4,17955.35,"(2022, 6)"
2022-06-13 04:00:00+00:00,XRPUSDT,-1.0278108108108106,SL,0.0,250.0,-256.95,17698.4,"(2022, 6)"
2022-06-15 08:00:00+00:00,XRPUSDT,-1.0199914893617021,SL,0.0,250.0,-255.0,17443.4,"(2022, 6)"
2022-06-18 06:50:00+00:00,BTCUSDT,-1.0041584894837476,SL,0.0,250.0,-251.04,17192.36,"(2022, 6)"
2022-06-21 20:00:00+00:00,DOGEUSDT,0.8950701612903157,BE,0.0,250.0,223.77,17416.13,"(2022, 6)"
2022-06-21 20:00:00+00:00,SOLUSDT,0.9915126865671642,BE,0.0,250.0,247.88,17664.01,"(2022, 6)"
2022-06-24 08:15:00+00:00,XRPUSDT,-1.0112469387755103,SL,0.0,250.0,-252.81,17411.2,"(2022, 6)"
2022-06-24 16:00:00+00:00,SOLUSDT,1.35745263157898,BE,0.0,250.0,339.36,17750.56,"(2022, 6)"
2022-06-26 04:00:00+00:00,SOLUSDT,2.066682926829284,BE,0.0,250.0,516.67,18267.23,"(2022, 6)"
2022-06-26 04:10:00+00:00,XRPUSDT,0.4770375000000056,BE,0.0,250.0,119.26,18386.49,"(2022, 6)"
2022-06-26 12:00:00+00:00,DOGEUSDT,-1.0255036144578313,SL,0.0,250.0,-256.38,18130.11,"(2022, 6)"
2022-06-30 12:00:00+00:00,BTCUSDT,-1.0473349309504474,SL,0.0,250.0,-261.83,17868.28,"(2022, 6)"
2022-06-30 12:05:00+00:00,SOLUSDT,-1.0265666666666666,SL,0.0,250.0,-256.64,17611.64,"(2022, 6)"
2022-06-30 16:00:00+00:00,XRPUSDT,0.7767574999999945,BE,0.0,250.0,194.19,17805.83,"(2022, 6)"
2022-07-05 04:15:00+00:00,SOLUSDT,4.745779166666622,BE,5000.0,250.0,1186.44,13992.27,"(2022, 7)"
2022-07-07 20:00:00+00:00,BTCUSDT,-1.0372892857142857,SL,0.0,250.0,-259.32,13732.95,"(2022, 7)"
2022-07-07 20:00:00+00:00,SOLUSDT,-1.0337588235294115,SL,0.0,250.0,-258.44,13474.51,"(2022, 7)"
2022-07-08 00:00:00+00:00,DOGEUSDT,7.7333374999999895,TP,0.0,250.0,1933.33,15407.84,"(2022, 7)"
2022-07-08 00:00:00+00:00,LINKUSDT,5.367405263157863,BE,0.0,250.0,1341.85,16749.7,"(2022, 7)"
2022-07-08 00:00:00+00:00,XRPUSDT,-1.170650000000003,SL,0.0,250.0,-292.66,16457.03,"(2022, 7)"
2022-07-08 08:05:00+00:00,DOGEUSDT,0.9851869863013699,BE,0.0,250.0,246.3,16703.33,"(2022, 7)"
2022-07-08 08:15:00+00:00,LINKUSDT,0.9834852459016393,BE,0.0,250.0,245.87,16949.2,"(2022, 7)"
2022-07-08 23:55:00+00:00,SOLUSDT,0.5116826086956446,BE,0.0,250.0,127.92,17077.12,"(2022, 7)"
2022-07-12 04:00:00+00:00,DOGEUSDT,0.8473965517241481,BE,0.0,250.0,211.85,17288.97,"(2022, 7)"
2022-07-13 01:00:00+00:00,BTCUSDT,0.6027811737804678,BE,0.0,250.0,150.7,17439.67,"(2022, 7)"
2022-07-13 20:00:00+00:00,DOGEUSDT,0.540864550264549,BE,0.0,250.0,135.22,17574.88,"(2022, 7)"
2022-07-15 08:00:00+00:00,XRPUSDT,1.362874999999994,BE,0.0,250.0,340.72,17915.6,"(2022, 7)"
2022-07-15 16:20:00+00:00,SOLUSDT,0.6298552631578991,BE,0.0,250.0,157.46,18073.06,"(2022, 7)"
2022-07-17 00:35:00+00:00,SOLUSDT,-1.011823,SL,0.0,250.0,-252.96,17820.11,"(2022, 7)"
2022-07-17 01:15:00+00:00,XRPUSDT,0.47894000000000003,BE,0.0,250.0,119.74,17939.84,"(2022, 7)"
2022-07-17 04:00:00+00:00,LINKUSDT,2.9058142857142855,BE,0.0,250.0,726.45,18666.3,"(2022, 7)"
2022-07-17 12:00:00+00:00,LINKUSDT,0.6349669565217395,BE,0.0,250.0,158.74,18825.04,"(2022, 7)"
2022-07-17 13:05:00+00:00,BTCUSDT,0.5953582925911856,BE,0.0,250.0,148.84,18973.88,"(2022, 7)"
2022-07-18 08:00:00+00:00,SOLUSDT,-1.0357705882352937,SL,0.0,250.0,-258.94,18714.94,"(2022, 7)"
2022-07-18 08:00:00+00:00,XRPUSDT,-1.0280815789473687,SL,0.0,250.0,-257.02,18457.92,"(2022, 7)"
2022-07-18 12:00:00+00:00,BTCUSDT,0.9577925996204939,BE,0.0,250.0,239.45,18697.36,"(2022, 7)"
2022-07-18 12:00:00+00:00,LINKUSDT,-1.061627272727272,SL,0.0,250.0,-265.41,18431.96,"(2022, 7)"
2022-07-19 04:00:00+00:00,BTCUSDT,1.8174580345285525,BE,0.0,250.0,454.36,18886.32,"(2022, 7)"
2022-07-19 04:00:00+00:00,DOGEUSDT,0.9857352112676057,BE,0.0,250.0,246.43,19132.76,"(2022, 7)"
2022-07-19 04:00:00+00:00,LINKUSDT,2.4633017857142794,BE,0.0,250.0,615.83,19748.58,"(2022, 7)"
2022-07-19 04:00:00+00:00,SOLUSDT,1.4507736842105317,BE,0.0,250.0,362.69,20111.27,"(2022, 7)"
2022-07-19 04:00:00+00:00,XRPUSDT,2.4687372549019617,BE,0.0,250.0,617.18,20728.46,"(2022, 7)"
2022-07-19 20:00:00+00:00,BTCUSDT,-1.0836565741857644,SL,0.0,250.0,-270.91,20457.54,"(2022, 7)"
2022-07-19 20:00:00+00:00,LINKUSDT,-1.0268125,SL,0.0,250.0,-256.7,20200.84,"(2022, 7)"
