session_day,anchor_ms,anchor_et,event_type,level,hit_ms,hit_et,minutes_to_hit,anchor_close,hit_close,move_anchor_to_hit_pct,hit_candle_range,hit_candle_range_pct_of_level,hit_candle_volume,hit_volume_zscore_24bars,forward_close,forward_return_pct,continuation_move_abs,continuation_move_pct_of_level
2025-03-26,1743022800000,2025-03-26 17:00,week_low,2.3552,1743024900000,2025-03-26 17:35,35.0,2.3788,2.3482,-1.2864,0.03270000000000017,1.3884,16988273.5,39.718,2.3499,0.0724,0.0182,0.7728
2025-03-27,1743109200000,2025-03-27 17:00,week_low,2.3005,1743131400000,2025-03-27 23:10,370.0,2.337,2.3044,-1.395,0.007800000000000029,0.3391,4110641.4,2.5944,2.3122,0.3385,0.0001,0.0043
2025-03-28,1743195600000,2025-03-28 17:00,week_low,2.1522,1743217200000,2025-03-28 23:00,360.0,2.1662,2.1569,-0.4293,0.012499999999999734,0.5808,7042687.5,5.0484,2.1827,1.1962,0.0249,1.157
2025-04-02,1743627600000,2025-04-02 17:00,week_low,2.0224,1743632400000,2025-04-02 18:20,80.0,2.1138,2.0363,-3.6664,0.019600000000000062,0.9691,10909410.6,0.4423,2.0211,-0.7465,0.0398,1.968
2025-04-22,1745355600000,2025-04-22 17:00,week_high,2.1923,1745358000000,2025-04-22 17:40,40.0,2.1577,2.1929,1.6314,0.017600000000000282,0.8028,15254601.6,5.009,2.2049,0.5472,0.0583,2.6593
2025-05-05,1746478800000,2025-05-05 17:00,week_low,2.1052,1746497100000,2025-05-05 22:05,305.0,2.1289,2.1045,-1.1461,0.011500000000000288,0.5463,5344984.1,5.6242,2.1062,0.0808,0.0126,0.5985
2025-05-08,1746738000000,2025-05-08 17:00,week_high,2.3188,1746738900000,2025-05-08 17:15,15.0,2.3029,2.3105,0.33,0.01770000000000005,0.7633,7987884.5,0.2727,2.2994,-0.4804,0.0139,0.5994
2025-05-09,1746824400000,2025-05-09 17:00,week_high,2.4293,1746871800000,2025-05-10 06:10,790.0,2.3568,2.4164,2.5289,0.03320000000000034,1.3666,24143207.9,9.9669,2.4013,-0.6249,-0.0005,-0.0206
2025-05-16,1747429200000,2025-05-16 17:00,week_low,2.3275,1747444800000,2025-05-16 21:20,260.0,2.4045,2.3349,-2.8946,0.013199999999999878,0.5671,10471600.1,3.1009,2.3378,0.1242,0.0169,0.7261
2025-05-22,1747947600000,2025-05-22 17:00,week_high,2.4553,1747964100000,2025-05-22 21:35,275.0,2.4161,2.4529,1.5231,0.010700000000000376,0.4358,4167490.1,1.7912,2.4753,0.9132,0.0245,0.9978
2025-05-26,1748293200000,2025-05-26 17:00,week_low,2.2644,1748308800000,2025-05-26 21:20,260.0,2.3133,2.2748,-1.6643,0.013199999999999878,0.5829,13418025.3,4.8,2.2921,0.7605,-0.009,-0.3975
2025-05-29,1748552400000,2025-05-29 17:00,week_low,2.2244,1748565900000,2025-05-29 20:45,225.0,2.2699,2.2165,-2.3525,0.020500000000000185,0.9216,6929960.0,1.8215,2.1898,-1.2046,0.0984,4.4237
2025-05-30,1748638800000,2025-05-30 17:00,week_low,2.126,1748649900000,2025-05-30 20:05,185.0,2.1898,2.1307,-2.6989,0.017799999999999816,0.8373,9667073.6,2.5568,2.1176,-0.6148,0.0223,1.0489
2025-06-09,1749502800000,2025-06-09 17:00,week_high,2.3131,1749503100000,2025-06-09 17:05,5.0,2.3101,2.3116,0.0649,0.006099999999999994,0.2637,5446628.2,0.0,2.3234,0.5105,0.0157,0.6787
2025-06-10,1749589200000,2025-06-10 17:00,week_high,2.3288,1749636900000,2025-06-11 06:15,795.0,2.2961,2.3242,1.2238,0.006199999999999761,0.2662,3566048.5,-0.0538,2.3135,-0.4604,-0.0022,-0.0945
2025-06-24,1750798800000,2025-06-24 17:00,week_high,2.2157,1750798800000,2025-06-24 17:00,0.0,2.2045,2.2045,0.0,0.011200000000000099,0.5055,2977201.5,0.0,2.1906,-0.6305,-0.0048,-0.2166
2025-07-08,1752008400000,2025-07-08 17:00,week_high,2.3532,1752057900000,2025-07-09 06:45,825.0,2.2997,2.356,2.4481,0.010800000000000143,0.4589,10223028.7,6.251,2.3844,1.2054,0.0355,1.5086
2025-07-09,1752094800000,2025-07-09 17:00,week_high,2.4282,1752112200000,2025-07-09 21:50,290.0,2.3999,2.4325,1.3584,0.011099999999999888,0.4571,6181960.1,3.264,2.4214,-0.4563,0.008,0.3295
2025-07-10,1752181200000,2025-07-10 17:00,week_high,2.5123,1752182100000,2025-07-10 17:15,15.0,2.5021,2.5387,1.4628,0.050200000000000244,1.9982,24072278.8,21.7463,2.5543,0.6145,0.0545,2.1693
2025-07-16,1752699600000,2025-07-16 17:00,week_high,3.1024,1752729900000,2025-07-17 01:25,505.0,3.0565,3.118,2.0121,0.03390000000000004,1.0927,14068460.9,4.2086,3.1519,1.0872,0.0725,2.3369
2025-07-17,1752786000000,2025-07-17 17:00,week_high,3.4045,1752786300000,2025-07-17 17:05,5.0,3.3902,3.4543,1.8907,0.07520000000000016,2.2088,64197019.4,0.0,3.4914,1.074,0.1507,4.4265
2025-07-23,1753304400000,2025-07-23 17:00,week_low,2.99,1753339800000,2025-07-24 02:50,590.0,3.1747,2.9911,-5.7832,0.08069999999999977,2.699,42642860.3,4.5478,3.051,2.0026,0.025,0.8361
2025-07-31,1753995600000,2025-07-31 17:00,week_low,2.9959,1754007000000,2025-07-31 20:10,190.0,3.0512,2.9918,-1.9468,0.03750000000000009,1.2517,43312612.5,23.934,2.9483,-1.454,0.068,2.2698
2025-08-07,1754600400000,2025-08-07 17:00,week_high,3.1196,1754601600000,2025-08-07 17:20,20.0,3.1073,3.1315,0.7788,0.021500000000000075,0.6892,14034782.2,10.4866,3.2894,5.0423,0.178,5.7059
2025-08-19,1755637200000,2025-08-19 17:00,week_low,2.87,1755645600000,2025-08-19 19:20,140.0,2.9019,2.8671,-1.1992,0.016599999999999948,0.5784,4737187.1,3.9435,2.8729,0.2023,0.0226,0.7875
2025-08-21,1755810000000,2025-08-21 17:00,week_low,2.8174,1755860700000,2025-08-22 07:05,845.0,2.8664,2.815,-1.7932,0.018000000000000238,0.6389,9620493.3,10.4865,,,0.0154,0.5466
2025-08-29,1756501200000,2025-08-29 17:00,week_low,2.7716,1756501200000,2025-08-29 17:00,0.0,2.7866,2.7866,0.0,0.015500000000000291,0.5592,11985711.4,0.0,2.8,0.4809,-0.0145,-0.5232
2025-09-01,1756760400000,2025-09-01 17:00,week_low,2.7,1756762800000,2025-09-01 17:40,40.0,2.7502,2.7112,-1.4181,0.024799999999999933,0.9185,10183723.5,5.3948,2.7194,0.3024,-0.01,-0.3704
2025-09-08,1757365200000,2025-09-08 17:00,week_high,2.9951,1757400600000,2025-09-09 02:50,590.0,2.9634,2.9944,1.0461,0.006000000000000227,0.2003,2878664.4,0.2624,3.0178,0.7815,0.032,1.0684
2025-09-11,1757624400000,2025-09-11 17:00,week_high,3.0363,1757631900000,2025-09-11 19:05,125.0,3.0219,3.0369,0.4964,0.009100000000000108,0.2997,4871016.5,7.3896,3.0381,0.0395,0.0121,0.3985
2025-09-12,1757710800000,2025-09-12 17:00,week_high,3.1372,1757752800000,2025-09-13 04:40,700.0,3.1106,3.1384,0.8937,0.008800000000000363,0.2805,4804860.0,4.3223,3.1738,1.128,0.0371,1.1826
2025-10-01,1759352400000,2025-10-01 17:00,week_high,2.9748,1759372500000,2025-10-01 22:35,335.0,2.9423,2.9753,1.1216,0.008399999999999963,0.2824,2221533.2,0.7729,2.9823,0.2353,0.0115,0.3866
2025-10-08,1759957200000,2025-10-08 17:00,week_low,2.8284,1759977900000,2025-10-08 22:45,345.0,2.8975,2.8277,-2.409,0.010199999999999765,0.3606,3416249.8,2.574,2.8396,0.4208,0.0054,0.1909
2025-10-10,1760130000000,2025-10-10 17:00,week_low,2.405,1760130600000,2025-10-10 17:10,10.0,2.5412,2.2899,-9.889,0.36629999999999985,15.2308,139796521.3,3.5435,2.3202,1.3232,1.2258,50.9688
2025-10-24,1761339600000,2025-10-24 17:00,week_high,2.5514,1761355500000,2025-10-24 21:25,265.0,2.5092,2.5549,1.8213,0.017799999999999816,0.6977,7901512.5,3.1577,2.5402,-0.5754,0.0086,0.3371
2025-11-03,1762207200000,2025-11-03 17:00,week_low,2.2616,1762235100000,2025-11-04 00:45,465.0,2.3007,2.265,-1.5517,0.02120000000000033,0.9374,13527181.4,2.6885,2.2736,0.3797,0.0173,0.7649
2025-11-14,1763157600000,2025-11-14 17:00,week_low,2.2253,1763161500000,2025-11-14 18:05,65.0,2.282,2.2349,-2.064,0.01540000000000008,0.692,8094178.5,5.2306,2.259,1.0783,-0.0081,-0.364
2025-11-17,1763416800000,2025-11-17 17:00,week_low,2.1131,1763432100000,2025-11-17 21:15,255.0,2.1455,2.1217,-1.1093,0.020999999999999908,0.9938,7161252.6,1.5889,2.1266,0.2309,0.008,0.3786
2025-11-20,1763676000000,2025-11-20 17:00,week_low,1.9734,1763693700000,2025-11-20 21:55,295.0,2.0233,1.9629,-2.9852,0.023199999999999887,1.1756,13685885.0,7.2257,1.9789,0.8151,0.0106,0.5371
2025-12-15,1765836000000,2025-12-15 17:00,week_low,1.8661,1765850400000,2025-12-15 21:00,240.0,1.8877,1.8624,-1.3403,0.011299999999999866,0.6055,6224438.9,3.7302,1.8695,0.3812,0.008,0.4287
2025-12-17,1766008800000,2025-12-17 17:00,week_low,1.846,1766034600000,2025-12-18 00:10,430.0,1.8581,1.8428,-0.8234,0.007100000000000106,0.3846,4706501.1,5.1304,1.8339,-0.483,0.0173,0.9372
2025-12-18,1766095200000,2025-12-18 17:00,week_low,1.7975,1766103600000,2025-12-18 19:20,140.0,1.8185,1.7975,-1.1548,0.010300000000000198,0.573,4035276.5,3.9509,1.7825,-0.8345,0.0175,0.9736
2026-01-02,1767391200000,2026-01-02 17:00,week_high,2.0273,1767391200000,2026-01-02 17:00,0.0,2.0268,2.0268,0.0,0.011600000000000055,0.5722,6801342.7,0.0,2.0169,-0.4885,0.0034,0.1677
2026-01-05,1767650400000,2026-01-05 17:00,week_high,2.3499,1767654600000,2026-01-05 18:10,70.0,2.3227,2.3546,1.3734,0.012799999999999923,0.5447,6253571.0,4.0842,2.325,-1.2571,0.0181,0.7702
2026-01-29,1769724000000,2026-01-29 17:00,week_low,1.7767,1769736900000,2026-01-29 20:35,215.0,1.8114,1.7845,-1.485,0.023500000000000076,1.3227,9921690.6,9.3467,1.744,-2.2695,0.0724,4.075
2026-01-30,1769810400000,2026-01-30 17:00,week_low,1.7043,1769847300000,2026-01-31 03:15,615.0,1.7277,1.7088,-1.0939,0.015300000000000091,0.8977,12355548.7,5.1631,1.6974,-0.6671,0.0253,1.4845
2026-02-04,1770242400000,2026-02-04 17:00,week_low,1.5009,1770242400000,2026-02-04 17:00,0.0,1.5024,1.5024,0.0,0.016400000000000192,1.0927,7255281.5,0.0,1.5078,0.3594,0.0075,0.4997
2026-02-05,1770328800000,2026-02-05 17:00,week_low,1.137,1770336600000,2026-02-05 19:10,130.0,1.1726,1.1446,-2.3879,0.04590000000000005,4.0369,64829259.6,4.6122,1.23,7.4611,0.0196,1.7238
2026-02-23,1771884000000,2026-02-23 17:00,week_low,1.329,1771895700000,2026-02-23 20:15,195.0,1.3647,1.3385,-1.9198,0.01949999999999985,1.4673,25611071.1,19.5034,1.3454,0.5155,-0.008,-0.602
2026-02-27,1772229600000,2026-02-27 17:00,week_low,1.3115,1772260500000,2026-02-28 01:35,515.0,1.3495,1.3126,-2.7343,0.01749999999999985,1.3343,24642203.6,3.3045,1.3187,0.4647,0.0224,1.708
