symbol,entry_ts,exit_ts,side,entry_price,stop_init,risk_price,pnl_r,reason,hold_5m_bars,hold_hours
SOLUSDT,2022-09-06 16:00:00+00:00,2022-09-06 20:00:00+00:00,SHORT,33.76,33.88,0.12000000000000455,7.915600000000003,TP,1,0.08333333333333333
SOLUSDT,2022-09-09 00:00:00+00:00,2022-09-09 04:00:00+00:00,SHORT,33.59,33.98,0.38999999999999346,-1.025838461538462,SL,1,0.08333333333333333
SOLUSDT,2022-09-10 12:00:00+00:00,2022-09-10 22:40:00+00:00,SHORT,34.73,35.19,0.46000000000000085,-1.02265,SL,81,6.75
SOLUSDT,2022-09-11 16:00:00+00:00,2022-09-11 20:00:00+00:00,SHORT,35.22,35.29,0.07000000000000028,-1.1509428571428566,SL,1,0.08333333333333333
SOLUSDT,2022-09-12 08:00:00+00:00,2022-09-12 12:00:00+00:00,SHORT,35.45,36.33,0.8799999999999955,-1.0120852272727274,SL,1,0.08333333333333333
SOLUSDT,2022-09-24 12:00:00+00:00,2022-09-24 19:55:00+00:00,SHORT,34.47,34.78,0.3100000000000023,1.3666419354838757,BE,48,4.0
SOLUSDT,2022-09-27 04:00:00+00:00,2022-09-27 09:15:00+00:00,SHORT,34.71,34.96,0.25,1.3583480000000057,BE,16,1.3333333333333333
SOLUSDT,2022-10-11 04:00:00+00:00,2022-10-11 22:00:00+00:00,LONG,31.37,31.03,0.33999999999999986,-1.027679411764706,SL,169,14.083333333333332
SOLUSDT,2022-10-12 20:00:00+00:00,2022-10-13 02:15:00+00:00,LONG,31.1,30.81,0.2900000000000027,-1.0321724137931032,SL,28,2.333333333333333
SOLUSDT,2022-10-13 04:00:00+00:00,2022-10-13 08:00:00+00:00,LONG,30.74,30.48,0.259999999999998,-1.035469230769231,SL,1,0.08333333333333333
SOLUSDT,2022-10-20 00:00:00+00:00,2022-10-20 05:20:00+00:00,LONG,28.84,28.55,0.28999999999999915,1.3701655172413791,BE,17,1.4166666666666665
SOLUSDT,2022-10-20 20:00:00+00:00,2022-10-21 00:00:00+00:00,LONG,28.26,28.03,0.23000000000000043,-1.0368608695652173,SL,1,0.08333333333333333
SOLUSDT,2022-10-22 04:00:00+00:00,2022-10-23 23:00:00+00:00,LONG,27.79,26.82,0.9699999999999989,1.391405154639174,BE,469,39.08333333333333
SOLUSDT,2022-10-31 00:00:00+00:00,2022-10-31 09:25:00+00:00,SHORT,32.92,33.54,0.6199999999999974,-1.0159290322580645,SL,66,5.5
SOLUSDT,2022-11-04 20:00:00+00:00,2022-11-05 00:30:00+00:00,SHORT,33.49,34.01,0.519999999999996,-1.019321153846154,SL,7,0.5833333333333333
SOLUSDT,2022-11-08 04:00:00+00:00,2022-11-08 13:55:00+00:00,LONG,26.43,25.52,0.9100000000000001,1.391286813186814,BE,72,6.0
SOLUSDT,2022-11-08 20:00:00+00:00,2022-11-09 07:45:00+00:00,LONG,22.74,18.4,4.34,-1.0015718894009216,SL,94,7.833333333333333
SOLUSDT,2022-11-11 04:00:00+00:00,2022-11-13 07:00:00+00:00,LONG,16.339,13.5,2.8389999999999986,-1.0017265586474111,SL,565,47.08333333333333
SOLUSDT,2022-11-19 04:00:00+00:00,2022-11-19 14:35:00+00:00,LONG,12.851,12.601,0.25,-1.0154212,SL,80,6.666666666666666
SOLUSDT,2022-11-20 12:00:00+00:00,2022-11-20 16:00:00+00:00,LONG,12.536,12.516,0.019999999999999574,7.811959999999996,TP,1,0.08333333333333333
SOLUSDT,2022-11-21 00:00:00+00:00,2022-11-21 04:00:00+00:00,LONG,12.252,12.085,0.16699999999999982,-1.0220095808383234,SL,1,0.08333333333333333
SOLUSDT,2022-11-22 04:00:00+00:00,2022-11-22 09:50:00+00:00,LONG,11.595,11.253,0.3420000000000005,-1.010171052631579,SL,23,1.9166666666666665
SOLUSDT,2022-11-24 04:00:00+00:00,2022-11-24 11:00:00+00:00,SHORT,14.571,14.948,0.37700000000000067,1.3884050397877983,BE,37,3.083333333333333
SOLUSDT,2022-12-07 00:00:00+00:00,2022-12-07 04:00:00+00:00,SHORT,14.279,14.3,0.021000000000000796,7.796014285714294,TP,1,0.08333333333333333
SOLUSDT,2022-12-12 04:00:00+00:00,2022-12-12 20:10:00+00:00,LONG,12.95,12.753,0.19699999999999918,1.380279187817257,BE,147,12.25
SOLUSDT,2022-12-14 16:00:00+00:00,2022-12-14 20:05:00+00:00,SHORT,14.479,14.54,0.06099999999999994,1.3287918032786883,BE,2,0.16666666666666666
SOLUSDT,2022-12-15 04:00:00+00:00,2022-12-16 09:05:00+00:00,SHORT,14.368,14.96,0.5920000000000005,1.3927189189189195,BE,302,25.166666666666664
SOLUSDT,2022-12-24 08:00:00+00:00,2022-12-27 12:55:00+00:00,LONG,11.331,11.03,0.30100000000000016,-1.0112933554817276,SL,876,73.0
SOLUSDT,2022-12-28 04:00:00+00:00,2022-12-28 08:00:00+00:00,LONG,10.769,10.664,0.10500000000000043,-1.0307685714285713,SL,1,0.08333333333333333
SOLUSDT,2023-01-02 08:00:00+00:00,2023-01-03 13:50:00+00:00,SHORT,11.084,12.067,0.9830000000000005,-1.0033827060020346,SL,311,25.916666666666664
SOLUSDT,2023-01-07 16:00:00+00:00,2023-01-08 00:35:00+00:00,SHORT,13.256,13.49,0.23399999999999999,1.3830051282051297,BE,56,4.666666666666666
SOLUSDT,2023-01-11 20:00:00+00:00,2023-01-12 00:00:00+00:00,SHORT,16.0,16.15,0.14999999999999858,-1.0320000000000003,SL,1,0.08333333333333333
SOLUSDT,2023-01-12 20:00:00+00:00,2023-01-13 00:20:00+00:00,SHORT,16.534,16.79,0.2560000000000002,-1.01937578125,SL,5,0.41666666666666663
SOLUSDT,2023-01-18 04:00:00+00:00,2023-01-18 15:55:00+00:00,SHORT,23.052,23.97,0.9179999999999993,1.3924666666666674,BE,96,8.0
SOLUSDT,2023-01-22 04:00:00+00:00,2023-01-25 12:00:00+00:00,SHORT,25.003,26.117,1.1140000000000008,1.3932666965888678,BE,913,76.08333333333333
SOLUSDT,2023-01-29 20:00:00+00:00,2023-01-30 09:05:00+00:00,SHORT,26.347,26.629,0.28200000000000003,5.471971276595751,BE,110,9.166666666666666
SOLUSDT,2023-02-10 00:00:00+00:00,2023-02-10 22:25:00+00:00,LONG,20.482,19.99,0.4920000000000009,-1.0124890243902438,SL,222,18.5
SOLUSDT,2023-02-11 20:00:00+00:00,2023-02-12 15:20:00+00:00,LONG,20.366,20.2,0.16600000000000037,5.463193975903625,BE,185,15.416666666666666
SOLUSDT,2023-02-15 20:00:00+00:00,2023-02-16 00:00:00+00:00,SHORT,22.992,23.018,0.0259999999999998,-1.2652923076923097,SL,1,0.08333333333333333
SOLUSDT,2023-02-19 16:00:00+00:00,2023-02-19 20:00:00+00:00,SHORT,25.3,25.327,0.027000000000001023,7.7188888888889,TP,1,0.08333333333333333
SOLUSDT,2023-02-25 20:00:00+00:00,2023-02-26 00:05:00+00:00,LONG,21.897,21.603,0.29399999999999693,1.3776561224489816,BE,2,0.16666666666666666
SOLUSDT,2023-03-03 04:00:00+00:00,2023-03-04 21:40:00+00:00,LONG,20.849,20.291,0.5579999999999998,-1.0112091397849463,SL,453,37.75
SOLUSDT,2023-03-07 20:00:00+00:00,2023-03-08 01:05:00+00:00,LONG,20.001,19.866,0.13500000000000156,1.3555533333333445,BE,14,1.1666666666666665
SOLUSDT,2023-03-08 08:00:00+00:00,2023-03-08 12:20:00+00:00,LONG,19.18,19.114,0.06599999999999895,1.3128181818181697,BE,5,0.41666666666666663
SOLUSDT,2023-03-11 08:00:00+00:00,2023-03-11 15:05:00+00:00,LONG,17.054,16.951,0.10299999999999798,1.3503281553398117,BE,38,3.1666666666666665
SOLUSDT,2023-03-13 16:00:00+00:00,2023-03-14 12:30:00+00:00,SHORT,20.717,21.418,0.7010000000000005,-1.00886604850214,SL,199,16.583333333333332
SOLUSDT,2023-03-14 16:00:00+00:00,2023-03-14 21:30:00+00:00,SHORT,21.923,22.152,0.22900000000000276,5.471279912663748,BE,19,1.5833333333333333
SOLUSDT,2023-03-18 00:00:00+00:00,2023-03-18 04:00:00+00:00,SHORT,21.598,21.696,0.09800000000000253,-1.0661163265306106,SL,1,0.08333333333333333
SOLUSDT,2023-03-20 08:00:00+00:00,2023-03-20 12:00:00+00:00,SHORT,23.105,23.186,0.08099999999999952,-1.0855740740740747,SL,1,0.08333333333333333
SOLUSDT,2023-04-11 04:00:00+00:00,2023-04-11 08:00:00+00:00,SHORT,21.264,21.299,0.03500000000000014,-1.1822628571428564,SL,1,0.08333333333333333
SOLUSDT,2023-04-14 20:00:00+00:00,2023-04-16 20:50:00+00:00,SHORT,24.539,25.5,0.9609999999999985,-1.0076604578563997,SL,539,44.916666666666664
SOLUSDT,2023-04-17 00:00:00+00:00,2023-04-17 04:00:00+00:00,SHORT,25.352,25.538,0.18599999999999994,-1.0408903225806452,SL,1,0.08333333333333333
SOLUSDT,2023-04-18 12:00:00+00:00,2023-04-18 16:55:00+00:00,SHORT,25.363,25.46,0.09700000000000131,5.421557731958764,BE,12,1.0
SOLUSDT,2023-04-20 20:00:00+00:00,2023-04-21 00:25:00+00:00,LONG,21.77,21.6,0.16999999999999815,1.3615823529411677,BE,6,0.5
SOLUSDT,2023-04-21 20:00:00+00:00,2023-04-22 16:50:00+00:00,LONG,21.199,20.809,0.39000000000000057,1.3836930769230733,BE,203,16.916666666666664
SOLUSDT,2023-04-28 20:00:00+00:00,2023-04-29 00:10:00+00:00,SHORT,23.299,23.45,0.1509999999999998,-1.04628940397351,SL,3,0.25
SOLUSDT,2023-04-30 08:00:00+00:00,2023-04-30 12:00:00+00:00,SHORT,23.413,23.476,0.06299999999999883,-1.1114904761904782,SL,1,0.08333333333333333
SOLUSDT,2023-05-08 20:00:00+00:00,2023-05-10 12:35:00+00:00,LONG,20.381,19.838,0.5429999999999993,1.3887397790055223,BE,440,36.666666666666664
SOLUSDT,2023-05-11 20:00:00+00:00,2023-05-12 14:15:00+00:00,LONG,19.998,19.65,0.34800000000000253,1.3827603448275905,BE,172,14.333333333333332
SOLUSDT,2023-05-22 00:00:00+00:00,2023-05-23 04:10:00+00:00,LONG,19.604,19.3,0.3039999999999985,1.3806539473684256,BE,291,24.25
SOLUSDT,2023-05-24 16:00:00+00:00,2023-06-05 15:55:00+00:00,LONG,19.16,18.53,0.629999999999999,1.3908761904761893,BE,3408,284.0
SOLUSDT,2023-06-09 04:00:00+00:00,2023-06-09 08:05:00+00:00,LONG,18.754,18.546,0.20800000000000196,-1.0270490384615383,SL,2,0.16666666666666666
SOLUSDT,2023-06-09 20:00:00+00:00,2023-06-10 00:10:00+00:00,LONG,17.383,17.193,0.18999999999999773,-1.0274468421052634,SL,3,0.25
SOLUSDT,2023-06-12 04:00:00+00:00,2023-06-12 08:55:00+00:00,LONG,15.087,14.9,0.1869999999999994,1.375796256684492,BE,12,1.0
SOLUSDT,2023-06-12 20:00:00+00:00,2023-06-13 00:25:00+00:00,LONG,14.949,14.708,0.24099999999999966,1.381391286307051,BE,6,0.5
SOLUSDT,2023-06-20 20:00:00+00:00,2023-06-21 00:00:00+00:00,SHORT,16.344,16.497,0.1529999999999987,-1.0320470588235298,SL,1,0.08333333333333333
SOLUSDT,2023-06-23 20:00:00+00:00,2023-06-24 00:30:00+00:00,SHORT,17.113,17.29,0.1769999999999996,-1.0290050847457628,SL,7,0.5833333333333333
SOLUSDT,2023-06-29 12:00:00+00:00,2023-06-29 16:05:00+00:00,SHORT,18.045,18.283,0.23799999999999955,1.3772542016806664,BE,2,0.16666666666666666
SOLUSDT,2023-07-02 04:00:00+00:00,2023-07-02 08:00:00+00:00,SHORT,18.764,18.914,0.15000000000000213,-1.0375279999999996,SL,1,0.08333333333333333
